record_id,dataset_partition,recommended_split,data_source,synthetic_method,grade_band,age_range,unit_family,unit_label,session_index,session_title,session_type,task_family,prompt_text,learner_response,artifact_summary,teacher_observation,peer_feedback,checkpoint_result,proof_of_work_present,proof_of_work_type,ai_used,ai_mode,ai_prompt,ai_suggestion_summary,learner_change_summary,confidence_self_rating,mastery,evidence_use,metacognition,independence,integrity_risk,safety_awareness,collaboration_signal,needs_followup,source_weight,eligible_for_training,eligible_for_eval,curriculum_anchor,scenario_tag,challenge_pattern,qc_pass,qc_notes
cha_13_00011,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Maybe make the handle bigger.,not_yet,False,missing_or_thin,False,none,,,,4,advanced,weak,strong,low,high,developing,strong,True,0.1,False,True,reflection_next_step,authentic_build,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00012,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,retrieval,problem_identification,What problem are you trying to solve and who does it help?,I want to help classmates because water bottle spills in backpacks in the classroom. My idea is a small fix that is easy to use.,"Prototype sketch, drawing sequence, and a simple prototype for water bottle spills in backpacks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Can you show where the problem happens?,pass,True,drawing_or_photo,False,none,,,,4,developing,developing,weak,medium,medium,developing,strong,True,0.1,False,True,reflection_next_step,share_out,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00013,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,4,Test and Improve,checkpoint,prototype_test_note,How did you test your invention today?,I tested it and it was okay.,No retained artifact; student description only.,"Student answered quickly and confidently, but the reasoning skipped key checks.",I like that it helps quickly.,not_yet,False,missing,False,none,,,,4,novice,weak,weak,low,medium,weak,developing,True,0.1,False,True,retrieval_explain_back,share_out,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00014,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,4,Test and Improve,reflection,improvement_reflection,"What worked, and what will you change next time?",What worked was the main idea. Next time I will make one part bigger because my friend tried it once and said the handle was too small.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student needed one prompt to explain who the invention helps.,I like that it helps quickly.,not_yet,False,missing,False,none,,,,1,novice,developing,strong,high,high,developing,developing,True,0.1,False,True,retrieval_explain_back,test_note,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00015,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a one labeled photo and a voice reflection clip. They show what I made and how I tested it.,"One labeled photo, voice reflection clip, and a simple prototype for plants do not get watered on weekends.","Artifact quality was strong, but the reflection did not explain what changed or why.",I like that it helps quickly.,pass_with_support,True,drawing_or_photo,False,none,,,,4,proficient,strong,weak,medium,low,developing,strong,True,0.1,False,True,retrieval_explain_back,share_out,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00016,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,artifact,show_and_tell,"Say what you made, who it helps, and why.",I made something for classmates. It helps with water bottle spills in backpacks.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Try a stronger tape next time.,not_yet,False,missing_or_thin,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,4,developing,weak,strong,low,high,developing,developing,True,0.1,False,True,portfolio_artifact,feedback_iteration,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00017,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Prototype sketch, tester smile/frown note, and a simple prototype for pencils roll off desks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,It looks helpful for younger kids too.,pass,True,drawing_or_photo,False,none,,,,4,developing,developing,weak,high,medium,developing,strong,True,0.1,False,True,checkpoint_show_work,feedback_iteration,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00018,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",retrieval,problem_identification,What problem are you trying to solve and who does it help?,I want to help classmates because water bottle spills in backpacks in the classroom. My idea is a small fix that is easy to use.,No retained artifact; student description only.,"Student answered quickly and confidently, but the reasoning skipped key checks.",Try a stronger tape next time.,not_yet,False,missing,False,none,,,,4,novice,weak,weak,low,medium,developing,strong,True,0.1,False,True,portfolio_artifact,authentic_build,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00019,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,checkpoint,prototype_test_note,How did you test your invention today?,I let someone try it and I watched what happened. the paper flap stayed shut when I shook the backpack.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student could point to the changed part of the prototype.,Can you show where the problem happens?,not_yet,False,missing,False,none,,,,1,novice,developing,strong,high,high,developing,developing,True,0.1,False,True,portfolio_artifact,authentic_build,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00020,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"Tester smile/frown note, drawing sequence, and a simple prototype for headphones get tangled.","Artifact quality was strong, but the reflection did not explain what changed or why.",Can you show where the problem happens?,pass_with_support,True,drawing_or_photo,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,2,developing,strong,weak,medium,low,developing,developing,True,0.1,False,True,reflection_next_step,test_note,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00021,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I made it but I forgot to keep my work page.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Maybe make the handle bigger.,not_yet,False,missing_or_thin,False,none,,,,4,proficient,weak,weak,low,high,weak,strong,True,0.1,False,True,portfolio_artifact,feedback_iteration,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00022,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,artifact,show_and_tell,"Say what you made, who it helps, and why.",We made a helper for kids. It fixes jackets fall off hooks because it keeps the hard part from happening.,"Teacher checklist note, prototype sketch, and a simple prototype for jackets fall off hooks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Try a stronger tape next time.,pass,True,drawing_or_photo,False,none,,,,4,developing,developing,weak,high,medium,developing,strong,True,0.1,False,True,portfolio_artifact,share_out,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00023,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,4,Test and Improve,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,Student gave a polished explanation but could not point to the tested part of the model.,"Teacher checklist note, tester smile/frown note, and a simple prototype for pencils roll off desks.","Student answered quickly and confidently, but the reasoning skipped key checks.",Can you show where the problem happens?,pass_with_support,True,drawing_or_photo,False,none,,,,4,novice,weak,weak,low,medium,weak,strong,True,0.1,False,True,checkpoint_show_work,authentic_build,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00024,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,retrieval,problem_identification,What problem are you trying to solve and who does it help?,The problem is markers dry out when caps get lost. It helps artists. I want to make it easier.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student could point to the changed part of the prototype.,Maybe make the handle bigger.,not_yet,False,missing,False,none,,,,1,developing,developing,strong,high,high,developing,developing,True,0.1,False,True,reflection_next_step,feedback_iteration,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00025,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I let someone try it and I watched what happened. it held three pencils before tipping.,"Prototype sketch, one labeled photo, and a simple prototype for water bottle spills in backpacks.","Artifact quality was strong, but the reflection did not explain what changed or why.",Try a stronger tape next time.,pass_with_support,True,drawing_or_photo,False,none,,,,1,developing,strong,weak,high,low,developing,strong,True,0.1,False,True,retrieval_explain_back,test_note,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00026,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,reflection,improvement_reflection,"What worked, and what will you change next time?",What worked was the main idea. Next time I will make one part bigger because my friend tried it once and said the handle was too small.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",It looks helpful for younger kids too.,not_yet,False,missing_or_thin,False,none,,,,4,developing,weak,strong,low,high,developing,strong,True,0.1,False,True,checkpoint_show_work,authentic_build,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00027,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a tester smile/frown note and a teacher checklist note. They show what I made and how I tested it.,"Tester smile/frown note, teacher checklist note, and a simple prototype for pencils roll off desks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,It looks helpful for younger kids too.,pass_with_support,True,drawing_or_photo,False,none,,,,1,developing,developing,weak,high,medium,developing,developing,True,0.1,False,True,retrieval_explain_back,share_out,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00028,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,artifact,show_and_tell,"Say what you made, who it helps, and why.",I made a thing to help.,"Tester smile/frown note, drawing sequence, and a simple prototype for plants do not get watered on weekends.","Student answered quickly and confidently, but the reasoning skipped key checks.",It looks helpful for younger kids too.,pass_with_support,True,drawing_or_photo,False,none,,,,4,novice,weak,strong,high,medium,developing,strong,True,0.1,False,True,reflection_next_step,test_note,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00029,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student needed one prompt to explain who the invention helps.,I like that it helps quickly.,not_yet,False,missing,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,2,developing,developing,strong,medium,high,developing,strong,True,0.1,False,True,reflection_next_step,authentic_build,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00030,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,retrieval,problem_identification,What problem are you trying to solve and who does it help?,I want to help the garden team because plants do not get watered on weekends in the school garden. My idea is a small fix that is easy to use.,"One labeled photo, drawing sequence, and a simple prototype for plants do not get watered on weekends.","Artifact quality was strong, but the reflection did not explain what changed or why.",I like that it helps quickly.,pass_with_support,True,drawing_or_photo,False,none,,,,4,proficient,strong,weak,low,low,developing,strong,True,0.1,False,True,reflection_next_step,feedback_iteration,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00031,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I tested it by asking one classmate to try it and my friend tried it once and said the handle was too small. That helped me see what to change.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Maybe make the handle bigger.,not_yet,False,missing_or_thin,False,none,,,,4,developing,weak,developing,low,high,developing,developing,True,0.1,False,True,checkpoint_show_work,authentic_build,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00032,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,4,Test and Improve,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"Tester smile/frown note, drawing sequence, and a simple prototype for pencils roll off desks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Maybe make the handle bigger.,pass,True,drawing_or_photo,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,4,developing,developing,weak,medium,medium,developing,strong,True,0.1,False,True,portfolio_artifact,authentic_build,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00033,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a tester smile/frown note and a drawing sequence. They show what I made and how I tested it.,"Tester smile/frown note, drawing sequence, and a simple prototype for water bottle spills in backpacks.","Student answered quickly and confidently, but the reasoning skipped key checks.",Try a stronger tape next time.,pass,True,drawing_or_photo,False,none,,,,4,novice,weak,strong,high,medium,developing,strong,True,0.1,False,True,reflection_next_step,test_note,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00034,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,artifact,show_and_tell,"Say what you made, who it helps, and why.",We made a helper for listeners. It fixes headphones get tangled because it keeps the hard part from happening.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student repeated a polished sentence but could not show the matching work sample.,I like that it helps quickly.,not_yet,False,missing,False,none,,,,4,proficient,weak,weak,low,high,weak,strong,True,0.1,False,True,portfolio_artifact,share_out,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00035,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Prototype sketch, teacher checklist note, and a simple prototype for jackets fall off hooks.","Artifact quality was strong, but the reflection did not explain what changed or why.",Try a stronger tape next time.,pass_with_support,True,drawing_or_photo,False,none,,,,2,developing,strong,weak,medium,low,developing,developing,True,0.1,False,True,portfolio_artifact,feedback_iteration,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00036,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,retrieval,problem_identification,What problem are you trying to solve and who does it help?,I saw library books are hard to carry. It is for readers.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Can you show where the problem happens?,not_yet,False,missing_or_thin,False,none,,,,4,novice,weak,strong,low,high,developing,strong,True,0.1,False,True,retrieval_explain_back,authentic_build,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00037,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I tested it and it was okay.,No retained artifact; student description only.,Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Can you show where the problem happens?,not_yet,False,missing,False,none,,,,4,developing,developing,weak,low,medium,developing,developing,True,0.1,False,True,checkpoint_show_work,feedback_iteration,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00038,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"Prototype sketch, drawing sequence, and a simple prototype for markers dry out when caps get lost.","Student answered quickly and confidently, but the reasoning skipped key checks.",Maybe make the handle bigger.,pass_with_support,True,drawing_or_photo,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,4,novice,weak,developing,medium,medium,developing,developing,True,0.1,False,True,retrieval_explain_back,share_out,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00039,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,4,Test and Improve,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a voice reflection clip and a prototype sketch. They show what I made and how I tested it.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student used feedback after a peer test.,It looks helpful for younger kids too.,not_yet,False,missing,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,2,developing,developing,developing,medium,high,developing,developing,True,0.1,False,True,retrieval_explain_back,authentic_build,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00040,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,artifact,show_and_tell,"Say what you made, who it helps, and why.",We made a helper for classmates. It fixes water bottle spills in backpacks because it keeps the hard part from happening.,"Tester smile/frown note, voice reflection clip, and a simple prototype for water bottle spills in backpacks.","Artifact quality was strong, but the reflection did not explain what changed or why.",Can you show where the problem happens?,pass_with_support,True,drawing_or_photo,False,none,,,,4,proficient,strong,weak,medium,low,developing,developing,True,0.1,False,True,checkpoint_show_work,share_out,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_46_00001,challenge,challenge,synthetic,integrity_edgecase_v1,4-6,9-11,eco_smart_design_lab,Eco-Smart Design Lab,2,Collect Simple Data,artifact,data_note,"What data did you collect, and what does it suggest?","We collected a teacher checkpoint note with 18 answers. Most people said lights left on in empty rooms, so we focused our design on that pattern.","Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.","The problem is strong, but your next step needs a date.",not_yet,False,missing_or_thin,True,student_optional,Give us survey questions about food waste in the cafeteria.,Suggested a three-part pitch structure.,Students kept the structure but rewrote the wording in their own voice.,4,developing,weak,developing,low,high,strong,strong,True,0.1,False,True,pitch_problem_evidence_next_step,survey,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_46_00002,challenge,challenge,synthetic,integrity_edgecase_v1,4-6,9-11,eco_smart_design_lab,Eco-Smart Design Lab,7,Create a Clear Pitch,reflection,evidence_changed_mind,What evidence changed your mind today?,The evidence made us switch ideas because one design looked harder to use.,"Block-code demo, teacher checkpoint note, and quick survey about battery bins are not used properly.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,"The problem is strong, but your next step needs a date.",pass,True,sketch_data_test_note,True,student_optional,Suggest ways to explain recycling confusion to younger students.,Suggested short survey wording and a before/after count.,Students cut one AI sentence and added a school-specific detail.,4,developing,developing,weak,medium,medium,strong,developing,True,0.1,False,True,reflection_evidence_changed_mind,pitch,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
