learner_id,cohort_id,grade_band,age_range,stage_label,support_profile,expression_mode_preference,device_access,language_support,accommodation_flag,attendance_band,confidence_profile,trajectory_type,spelling_noise_level
L13_01_020,C13_01,1-3,6-8,Discoverers,general,drawing,shared_device,moderate,audio_support,irregular,balanced,variable_growth,low
L13_01_021,C13_01,1-3,6-8,Discoverers,chunked_steps,mixed,laptop_priority,none,visual_support,irregular,cautious,late_bloom,high
L13_01_022,C13_01,1-3,6-8,Discoverers,general,drawing,tablet_mix,moderate,visual_support,irregular,balanced,needs_structure,high
L13_01_023,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,none,none,mixed,balanced,high_stable,high
L13_01_024,C13_01,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,light,organization_support,mostly_steady,overconfident,high_stable,high
L13_01_025,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,moderate,audio_support,irregular,overconfident,high_stable,low
L13_01_026,C13_01,1-3,6-8,Discoverers,precut_materials,oral,tablet_mix,none,none,steady,cautious,needs_structure,medium
L13_01_027,C13_01,1-3,6-8,Discoverers,chunked_steps,mixed,shared_device,light,extended_time,irregular,overconfident,steady_growth,low
L13_01_028,C13_01,1-3,6-8,Discoverers,precut_materials,drawing,shared_device,light,organization_support,irregular,confident,variable_growth,low
L13_01_029,C13_01,1-3,6-8,Discoverers,general,drawing,tablet_mix,moderate,visual_support,irregular,cautious,high_stable,low
L13_01_030,C13_01,1-3,6-8,Discoverers,general,drawing,laptop_priority,none,organization_support,mixed,confident,high_stable,high
L13_01_031,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,tablet_mix,none,none,mixed,cautious,steady_growth,high
L13_01_032,C13_01,1-3,6-8,Discoverers,general,drawing,1to1_device,light,none,mostly_steady,balanced,needs_structure,high
L13_01_033,C13_01,1-3,6-8,Discoverers,picture_word_bank,oral,1to1_device,moderate,organization_support,irregular,overconfident,late_bloom,low
L13_01_034,C13_01,1-3,6-8,Discoverers,precut_materials,oral,tablet_mix,none,extended_time,mostly_steady,overconfident,high_stable,low
L13_01_035,C13_01,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,organization_support,mostly_steady,cautious,variable_growth,high
L13_01_036,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,laptop_priority,moderate,organization_support,irregular,overconfident,high_stable,low
L13_01_037,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,moderate,none,mostly_steady,cautious,needs_structure,low
L13_01_038,C13_01,1-3,6-8,Discoverers,audio_reflection,mixed,laptop_priority,moderate,audio_support,irregular,confident,high_stable,low
L13_01_039,C13_01,1-3,6-8,Discoverers,audio_reflection,mixed,tablet_mix,light,none,mixed,cautious,variable_growth,low
L13_01_040,C13_01,1-3,6-8,Discoverers,audio_reflection,mixed,shared_device,light,organization_support,mixed,confident,late_bloom,high
L13_01_041,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,moderate,none,mostly_steady,overconfident,variable_growth,medium
L13_01_042,C13_01,1-3,6-8,Discoverers,general,oral,shared_device,none,visual_support,irregular,overconfident,steady_growth,low
L13_01_043,C13_01,1-3,6-8,Discoverers,precut_materials,mixed,shared_device,light,audio_support,irregular,balanced,steady_growth,high
L13_01_044,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,light,extended_time,mostly_steady,confident,steady_growth,low
L13_01_045,C13_01,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,extended_time,mostly_steady,confident,late_bloom,medium
L13_01_046,C13_01,1-3,6-8,Discoverers,general,drawing,laptop_priority,moderate,organization_support,irregular,confident,needs_structure,low
L13_01_047,C13_01,1-3,6-8,Discoverers,general,mixed,shared_device,moderate,organization_support,irregular,balanced,high_stable,low
L13_01_048,C13_01,1-3,6-8,Discoverers,general,oral,1to1_device,none,none,irregular,balanced,late_bloom,medium
L13_01_049,C13_01,1-3,6-8,Discoverers,audio_reflection,mixed,1to1_device,moderate,extended_time,steady,overconfident,variable_growth,high
L13_01_050,C13_01,1-3,6-8,Discoverers,chunked_steps,oral,shared_device,none,extended_time,irregular,confident,high_stable,medium
L13_01_051,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,1to1_device,moderate,visual_support,mostly_steady,confident,variable_growth,low
L13_01_052,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,none,extended_time,mostly_steady,cautious,late_bloom,low
L13_01_053,C13_01,1-3,6-8,Discoverers,chunked_steps,oral,tablet_mix,light,organization_support,steady,cautious,high_stable,low
L13_01_054,C13_01,1-3,6-8,Discoverers,precut_materials,oral,tablet_mix,light,visual_support,mixed,balanced,high_stable,medium
L13_01_055,C13_01,1-3,6-8,Discoverers,chunked_steps,mixed,shared_device,none,visual_support,irregular,overconfident,variable_growth,low
L13_01_056,C13_01,1-3,6-8,Discoverers,audio_reflection,mixed,1to1_device,moderate,organization_support,steady,cautious,needs_structure,medium
L13_01_057,C13_01,1-3,6-8,Discoverers,chunked_steps,mixed,1to1_device,light,audio_support,steady,cautious,needs_structure,medium
L13_01_058,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,laptop_priority,light,extended_time,irregular,overconfident,needs_structure,high
L13_01_059,C13_01,1-3,6-8,Discoverers,picture_word_bank,mixed,laptop_priority,light,audio_support,mostly_steady,balanced,variable_growth,high
L13_01_060,C13_01,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,light,visual_support,steady,overconfident,needs_structure,low
L13_02_001,C13_02,1-3,6-8,Discoverers,chunked_steps,mixed,laptop_priority,light,visual_support,mostly_steady,confident,variable_growth,high
L13_02_002,C13_02,1-3,6-8,Discoverers,precut_materials,oral,laptop_priority,moderate,none,irregular,cautious,needs_structure,medium
L13_02_003,C13_02,1-3,6-8,Discoverers,precut_materials,oral,1to1_device,none,organization_support,mostly_steady,cautious,variable_growth,low
L13_02_004,C13_02,1-3,6-8,Discoverers,audio_reflection,oral,shared_device,moderate,audio_support,steady,overconfident,needs_structure,high
L13_02_005,C13_02,1-3,6-8,Discoverers,general,drawing,1to1_device,moderate,organization_support,irregular,cautious,late_bloom,high
L13_02_006,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,shared_device,none,visual_support,mostly_steady,balanced,late_bloom,low
L13_02_007,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,laptop_priority,moderate,extended_time,mixed,balanced,steady_growth,medium
L13_02_008,C13_02,1-3,6-8,Discoverers,precut_materials,mixed,1to1_device,light,organization_support,mixed,cautious,late_bloom,low
L13_02_009,C13_02,1-3,6-8,Discoverers,precut_materials,mixed,laptop_priority,light,extended_time,steady,cautious,late_bloom,high
L13_02_010,C13_02,1-3,6-8,Discoverers,precut_materials,drawing,laptop_priority,light,organization_support,steady,balanced,needs_structure,medium
L13_02_011,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,light,visual_support,irregular,balanced,late_bloom,low
L13_02_012,C13_02,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,light,visual_support,steady,confident,late_bloom,low
L13_02_013,C13_02,1-3,6-8,Discoverers,chunked_steps,mixed,tablet_mix,light,audio_support,mostly_steady,cautious,variable_growth,low
L13_02_014,C13_02,1-3,6-8,Discoverers,chunked_steps,mixed,laptop_priority,none,visual_support,irregular,overconfident,needs_structure,medium
L13_02_015,C13_02,1-3,6-8,Discoverers,audio_reflection,oral,shared_device,moderate,extended_time,mixed,balanced,steady_growth,medium
L13_02_016,C13_02,1-3,6-8,Discoverers,audio_reflection,drawing,shared_device,light,extended_time,steady,cautious,needs_structure,high
L13_02_017,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,shared_device,light,audio_support,mixed,confident,late_bloom,low
L13_02_018,C13_02,1-3,6-8,Discoverers,general,drawing,1to1_device,none,none,steady,cautious,late_bloom,high
L13_02_019,C13_02,1-3,6-8,Discoverers,audio_reflection,oral,1to1_device,light,organization_support,irregular,confident,needs_structure,low
L13_02_020,C13_02,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,light,audio_support,steady,overconfident,steady_growth,low
L13_02_021,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,light,visual_support,steady,overconfident,needs_structure,medium
L13_02_022,C13_02,1-3,6-8,Discoverers,general,drawing,1to1_device,moderate,organization_support,irregular,overconfident,late_bloom,low
L13_02_023,C13_02,1-3,6-8,Discoverers,chunked_steps,oral,laptop_priority,light,visual_support,mixed,balanced,late_bloom,medium
L13_02_024,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,1to1_device,none,visual_support,mixed,balanced,high_stable,low
L13_02_025,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,1to1_device,light,none,steady,confident,needs_structure,low
L13_02_026,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,tablet_mix,none,organization_support,irregular,balanced,late_bloom,low
L13_02_027,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,1to1_device,moderate,visual_support,irregular,cautious,variable_growth,low
L13_02_028,C13_02,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,light,none,mostly_steady,cautious,late_bloom,low
L13_02_029,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,organization_support,mostly_steady,overconfident,high_stable,low
L13_02_030,C13_02,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,light,none,mostly_steady,balanced,variable_growth,medium
L13_02_031,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,none,visual_support,mixed,cautious,variable_growth,low
L13_02_032,C13_02,1-3,6-8,Discoverers,picture_word_bank,oral,1to1_device,light,organization_support,mostly_steady,overconfident,variable_growth,high
L13_02_033,C13_02,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,light,extended_time,mixed,overconfident,steady_growth,medium
L13_02_034,C13_02,1-3,6-8,Discoverers,chunked_steps,oral,tablet_mix,light,extended_time,mixed,confident,needs_structure,low
L13_02_035,C13_02,1-3,6-8,Discoverers,chunked_steps,oral,shared_device,light,extended_time,mixed,overconfident,steady_growth,high
L13_02_036,C13_02,1-3,6-8,Discoverers,general,oral,1to1_device,moderate,extended_time,steady,cautious,late_bloom,low
L13_02_037,C13_02,1-3,6-8,Discoverers,precut_materials,mixed,1to1_device,light,audio_support,steady,overconfident,variable_growth,low
L13_02_038,C13_02,1-3,6-8,Discoverers,chunked_steps,oral,laptop_priority,none,extended_time,mixed,overconfident,needs_structure,low
L13_02_039,C13_02,1-3,6-8,Discoverers,precut_materials,mixed,laptop_priority,moderate,none,steady,confident,needs_structure,high
L13_02_040,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,moderate,organization_support,mixed,balanced,needs_structure,low
L13_02_041,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,laptop_priority,light,visual_support,irregular,balanced,needs_structure,high
L13_02_042,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,shared_device,light,visual_support,mixed,confident,variable_growth,low
L13_02_043,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,moderate,extended_time,mixed,cautious,needs_structure,high
L13_02_044,C13_02,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,none,irregular,balanced,variable_growth,medium
L13_02_045,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,light,none,steady,balanced,high_stable,high
L13_02_046,C13_02,1-3,6-8,Discoverers,audio_reflection,drawing,shared_device,moderate,visual_support,mostly_steady,balanced,late_bloom,medium
L13_02_047,C13_02,1-3,6-8,Discoverers,precut_materials,mixed,1to1_device,none,none,irregular,balanced,needs_structure,low
L13_02_048,C13_02,1-3,6-8,Discoverers,chunked_steps,mixed,laptop_priority,light,organization_support,mostly_steady,confident,high_stable,medium
L13_02_049,C13_02,1-3,6-8,Discoverers,general,mixed,1to1_device,moderate,visual_support,mostly_steady,overconfident,high_stable,low
L13_02_050,C13_02,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,none,steady,confident,late_bloom,medium
L13_02_051,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,none,extended_time,steady,cautious,needs_structure,high
L13_02_052,C13_02,1-3,6-8,Discoverers,general,mixed,laptop_priority,light,audio_support,steady,overconfident,variable_growth,low
L13_02_053,C13_02,1-3,6-8,Discoverers,general,drawing,tablet_mix,none,organization_support,mostly_steady,balanced,late_bloom,medium
L13_02_054,C13_02,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,moderate,extended_time,mostly_steady,overconfident,steady_growth,low
L13_02_055,C13_02,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,none,none,mixed,overconfident,steady_growth,low
L13_02_056,C13_02,1-3,6-8,Discoverers,audio_reflection,oral,laptop_priority,light,none,mixed,overconfident,steady_growth,high
L13_02_057,C13_02,1-3,6-8,Discoverers,precut_materials,oral,shared_device,moderate,none,steady,overconfident,variable_growth,high
L13_02_058,C13_02,1-3,6-8,Discoverers,precut_materials,drawing,laptop_priority,moderate,organization_support,steady,overconfident,steady_growth,low
L13_02_059,C13_02,1-3,6-8,Discoverers,general,drawing,tablet_mix,light,audio_support,steady,balanced,late_bloom,low
L13_02_060,C13_02,1-3,6-8,Discoverers,picture_word_bank,mixed,1to1_device,light,visual_support,mostly_steady,overconfident,variable_growth,high
L13_03_001,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,shared_device,none,audio_support,steady,confident,steady_growth,low
L13_03_002,C13_03,1-3,6-8,Discoverers,picture_word_bank,drawing,1to1_device,none,none,mixed,overconfident,needs_structure,high
L13_03_003,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,moderate,extended_time,mostly_steady,cautious,steady_growth,high
L13_03_004,C13_03,1-3,6-8,Discoverers,precut_materials,mixed,1to1_device,light,organization_support,steady,overconfident,high_stable,low
L13_03_005,C13_03,1-3,6-8,Discoverers,precut_materials,mixed,laptop_priority,moderate,extended_time,irregular,balanced,high_stable,low
L13_03_006,C13_03,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,moderate,audio_support,mostly_steady,balanced,high_stable,medium
L13_03_007,C13_03,1-3,6-8,Discoverers,general,drawing,1to1_device,moderate,organization_support,mixed,cautious,late_bloom,low
L13_03_008,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,light,organization_support,steady,confident,variable_growth,medium
L13_03_009,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,light,none,steady,overconfident,needs_structure,medium
L13_03_010,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,tablet_mix,moderate,none,steady,overconfident,late_bloom,medium
L13_03_011,C13_03,1-3,6-8,Discoverers,picture_word_bank,drawing,tablet_mix,light,none,mixed,overconfident,needs_structure,low
L13_03_012,C13_03,1-3,6-8,Discoverers,general,oral,shared_device,light,visual_support,mostly_steady,confident,late_bloom,high
L13_03_013,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,tablet_mix,light,extended_time,irregular,cautious,steady_growth,medium
L13_03_014,C13_03,1-3,6-8,Discoverers,picture_word_bank,mixed,tablet_mix,light,none,steady,overconfident,variable_growth,low
L13_03_015,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,shared_device,moderate,none,steady,confident,late_bloom,high
L13_03_016,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,none,audio_support,mostly_steady,overconfident,steady_growth,medium
L13_03_017,C13_03,1-3,6-8,Discoverers,general,oral,1to1_device,none,organization_support,irregular,overconfident,variable_growth,high
L13_03_018,C13_03,1-3,6-8,Discoverers,general,drawing,tablet_mix,none,audio_support,mostly_steady,cautious,high_stable,low
L13_03_019,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,shared_device,light,none,mixed,confident,steady_growth,low
L13_03_020,C13_03,1-3,6-8,Discoverers,picture_word_bank,oral,tablet_mix,none,organization_support,mostly_steady,balanced,steady_growth,low
L13_03_021,C13_03,1-3,6-8,Discoverers,chunked_steps,mixed,tablet_mix,none,none,irregular,balanced,steady_growth,low
L13_03_022,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,shared_device,none,organization_support,irregular,balanced,high_stable,high
L13_03_023,C13_03,1-3,6-8,Discoverers,precut_materials,oral,tablet_mix,moderate,extended_time,mostly_steady,cautious,variable_growth,high
L13_03_024,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,moderate,extended_time,mixed,confident,steady_growth,low
L13_03_025,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,moderate,none,irregular,overconfident,variable_growth,high
L13_03_026,C13_03,1-3,6-8,Discoverers,general,drawing,1to1_device,none,organization_support,irregular,confident,late_bloom,low
L13_03_027,C13_03,1-3,6-8,Discoverers,general,oral,tablet_mix,moderate,organization_support,mixed,cautious,steady_growth,medium
L13_03_028,C13_03,1-3,6-8,Discoverers,general,mixed,laptop_priority,light,none,mostly_steady,overconfident,high_stable,high
L13_03_029,C13_03,1-3,6-8,Discoverers,chunked_steps,mixed,shared_device,light,none,mostly_steady,cautious,variable_growth,low
L13_03_030,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,none,none,mostly_steady,cautious,steady_growth,medium
L13_03_031,C13_03,1-3,6-8,Discoverers,picture_word_bank,oral,laptop_priority,light,organization_support,irregular,cautious,steady_growth,low
L13_03_032,C13_03,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,light,organization_support,mixed,cautious,needs_structure,high
L13_03_033,C13_03,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,organization_support,steady,overconfident,high_stable,low
L13_03_034,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,shared_device,light,none,mostly_steady,overconfident,steady_growth,high
L13_03_035,C13_03,1-3,6-8,Discoverers,general,mixed,laptop_priority,none,organization_support,irregular,balanced,variable_growth,low
L13_03_036,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,tablet_mix,light,organization_support,steady,overconfident,needs_structure,low
L13_03_037,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,shared_device,moderate,visual_support,irregular,overconfident,late_bloom,medium
L13_03_038,C13_03,1-3,6-8,Discoverers,picture_word_bank,mixed,tablet_mix,light,visual_support,mostly_steady,cautious,high_stable,high
L13_03_039,C13_03,1-3,6-8,Discoverers,precut_materials,drawing,tablet_mix,light,organization_support,mixed,balanced,high_stable,low
L13_03_040,C13_03,1-3,6-8,Discoverers,audio_reflection,oral,1to1_device,light,audio_support,irregular,overconfident,late_bloom,high
L13_03_041,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,laptop_priority,moderate,organization_support,steady,balanced,needs_structure,medium
L13_03_042,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,tablet_mix,none,none,irregular,balanced,high_stable,low
L13_03_043,C13_03,1-3,6-8,Discoverers,general,drawing,tablet_mix,light,visual_support,irregular,cautious,steady_growth,low
L13_03_044,C13_03,1-3,6-8,Discoverers,picture_word_bank,oral,tablet_mix,none,extended_time,mixed,confident,steady_growth,medium
L13_03_045,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,laptop_priority,light,audio_support,steady,cautious,late_bloom,high
L13_03_046,C13_03,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,none,steady,balanced,steady_growth,high
L13_03_047,C13_03,1-3,6-8,Discoverers,audio_reflection,mixed,1to1_device,light,audio_support,mixed,confident,variable_growth,low
L13_03_048,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,tablet_mix,moderate,organization_support,irregular,balanced,needs_structure,low
L13_03_049,C13_03,1-3,6-8,Discoverers,general,drawing,1to1_device,none,none,steady,cautious,high_stable,low
L13_03_050,C13_03,1-3,6-8,Discoverers,precut_materials,mixed,tablet_mix,light,audio_support,steady,balanced,steady_growth,low
L13_03_051,C13_03,1-3,6-8,Discoverers,general,mixed,1to1_device,moderate,audio_support,mostly_steady,cautious,late_bloom,high
L13_03_052,C13_03,1-3,6-8,Discoverers,general,oral,shared_device,moderate,visual_support,mixed,balanced,steady_growth,low
L13_03_053,C13_03,1-3,6-8,Discoverers,precut_materials,oral,laptop_priority,moderate,visual_support,steady,balanced,variable_growth,high
L13_03_054,C13_03,1-3,6-8,Discoverers,general,oral,laptop_priority,moderate,organization_support,steady,overconfident,high_stable,low
L13_03_055,C13_03,1-3,6-8,Discoverers,chunked_steps,mixed,tablet_mix,light,none,mixed,overconfident,steady_growth,low
L13_03_056,C13_03,1-3,6-8,Discoverers,general,oral,tablet_mix,moderate,extended_time,mostly_steady,cautious,late_bloom,high
L13_03_057,C13_03,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,moderate,audio_support,irregular,balanced,high_stable,low
L13_03_058,C13_03,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,extended_time,mixed,balanced,variable_growth,high
L13_03_059,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,shared_device,moderate,none,steady,cautious,variable_growth,medium
L13_03_060,C13_03,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,none,none,mixed,balanced,high_stable,low
L13_04_001,C13_04,1-3,6-8,Discoverers,precut_materials,mixed,shared_device,none,organization_support,steady,balanced,variable_growth,medium
L13_04_002,C13_04,1-3,6-8,Discoverers,general,oral,shared_device,light,audio_support,mixed,balanced,high_stable,low
L13_04_003,C13_04,1-3,6-8,Discoverers,picture_word_bank,oral,tablet_mix,none,audio_support,mostly_steady,balanced,needs_structure,low
L13_04_004,C13_04,1-3,6-8,Discoverers,general,oral,tablet_mix,none,audio_support,mixed,balanced,needs_structure,low
L13_04_005,C13_04,1-3,6-8,Discoverers,chunked_steps,oral,shared_device,light,organization_support,steady,balanced,needs_structure,low
L13_04_006,C13_04,1-3,6-8,Discoverers,chunked_steps,drawing,laptop_priority,none,extended_time,irregular,balanced,variable_growth,medium
L13_04_007,C13_04,1-3,6-8,Discoverers,general,drawing,laptop_priority,moderate,organization_support,irregular,cautious,variable_growth,low
L13_04_008,C13_04,1-3,6-8,Discoverers,audio_reflection,drawing,laptop_priority,none,audio_support,steady,confident,steady_growth,high
L13_04_009,C13_04,1-3,6-8,Discoverers,precut_materials,drawing,shared_device,light,extended_time,irregular,confident,steady_growth,high
L13_04_010,C13_04,1-3,6-8,Discoverers,picture_word_bank,mixed,laptop_priority,none,visual_support,steady,cautious,needs_structure,low
L13_04_011,C13_04,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,visual_support,steady,balanced,variable_growth,medium
L13_04_012,C13_04,1-3,6-8,Discoverers,picture_word_bank,mixed,1to1_device,light,visual_support,steady,balanced,variable_growth,low
L13_04_013,C13_04,1-3,6-8,Discoverers,picture_word_bank,mixed,1to1_device,none,audio_support,irregular,cautious,steady_growth,low
L13_04_014,C13_04,1-3,6-8,Discoverers,precut_materials,oral,shared_device,none,none,irregular,cautious,steady_growth,low
L13_04_015,C13_04,1-3,6-8,Discoverers,precut_materials,drawing,1to1_device,moderate,audio_support,mostly_steady,cautious,steady_growth,medium
L13_04_016,C13_04,1-3,6-8,Discoverers,picture_word_bank,oral,shared_device,none,organization_support,mixed,balanced,high_stable,low
L13_04_017,C13_04,1-3,6-8,Discoverers,picture_word_bank,mixed,shared_device,moderate,audio_support,irregular,cautious,variable_growth,medium
L13_04_018,C13_04,1-3,6-8,Discoverers,general,oral,shared_device,moderate,audio_support,irregular,confident,needs_structure,low
L13_04_019,C13_04,1-3,6-8,Discoverers,precut_materials,drawing,tablet_mix,moderate,audio_support,mixed,overconfident,needs_structure,high
L13_04_020,C13_04,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,light,audio_support,irregular,balanced,variable_growth,low
L13_04_021,C13_04,1-3,6-8,Discoverers,general,drawing,laptop_priority,none,organization_support,steady,confident,late_bloom,high
L13_04_022,C13_04,1-3,6-8,Discoverers,precut_materials,drawing,tablet_mix,none,visual_support,steady,balanced,steady_growth,low
L13_04_023,C13_04,1-3,6-8,Discoverers,chunked_steps,oral,shared_device,light,extended_time,mostly_steady,overconfident,needs_structure,high
L13_04_024,C13_04,1-3,6-8,Discoverers,picture_word_bank,oral,laptop_priority,moderate,none,irregular,confident,high_stable,low
L13_04_025,C13_04,1-3,6-8,Discoverers,general,oral,tablet_mix,light,organization_support,mostly_steady,overconfident,steady_growth,medium
L13_04_026,C13_04,1-3,6-8,Discoverers,chunked_steps,mixed,tablet_mix,moderate,visual_support,steady,confident,high_stable,high
L13_04_027,C13_04,1-3,6-8,Discoverers,general,oral,shared_device,moderate,extended_time,irregular,overconfident,needs_structure,low
L13_04_028,C13_04,1-3,6-8,Discoverers,audio_reflection,oral,1to1_device,moderate,visual_support,mixed,balanced,steady_growth,medium
L13_04_029,C13_04,1-3,6-8,Discoverers,audio_reflection,drawing,laptop_priority,none,organization_support,steady,balanced,high_stable,low
L13_04_030,C13_04,1-3,6-8,Discoverers,chunked_steps,drawing,1to1_device,none,none,mixed,overconfident,variable_growth,low
L13_04_031,C13_04,1-3,6-8,Discoverers,audio_reflection,mixed,1to1_device,moderate,extended_time,mixed,cautious,high_stable,low
