cohort_id,grade_band,age_range,stage_label,unit_family,unit_label,delivery_mode,region,support_mix,term,teacher_team,learner_count,ai_access_policy,cohort_split,start_date
C79_10,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,West,visual_support_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,supervised_choice,val,2026-04-06
C79_11,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,Central,balanced_mix,2026_Spring,Ms/Mr Ali + Chen,60,supervised_choice,test,2026-04-13
C79_12,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,Coastal,language_scaffold_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,supervised_choice,test,2026-04-20
C1012_01,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,North,balanced_mix,2026_Spring,Ms/Mr Patel + Lopez,60,audited_independent,train,2026-02-02
C1012_02,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,South,language_scaffold_mix,2026_Fall,Ms/Mr Smith + Brown,60,audited_independent,train,2026-02-09
C1012_03,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,East,audio_flexible_mix,2026_Spring,Ms/Mr Kim + Davis,60,audited_independent,train,2026-02-16
C1012_04,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,West,extended_time_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,audited_independent,train,2026-02-23
C1012_05,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,Central,visual_support_mix,2026_Spring,Ms/Mr Ali + Chen,60,audited_independent,train,2026-03-02
C1012_06,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,Coastal,balanced_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,audited_independent,train,2026-03-09
C1012_07,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,North,language_scaffold_mix,2026_Spring,Ms/Mr Patel + Lopez,60,audited_independent,train,2026-03-16
C1012_08,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,South,audio_flexible_mix,2026_Fall,Ms/Mr Smith + Brown,60,audited_independent,train,2026-03-23
C1012_09,10-12,15-18,Innovators,venture_sprint,Venture Sprint,blended,East,extended_time_mix,2026_Spring,Ms/Mr Kim + Davis,60,audited_independent,val,2026-03-30
C1012_10,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,West,visual_support_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,audited_independent,val,2026-04-06
C1012_11,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,Central,balanced_mix,2026_Spring,Ms/Mr Ali + Chen,60,audited_independent,test,2026-04-13
C1012_12,10-12,15-18,Innovators,venture_sprint,Venture Sprint,in_person,Coastal,language_scaffold_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,audited_independent,test,2026-04-20
