ai_trace_id,record_id,learner_id,cohort_id,session_id,grade_band,ai_mode,ai_prompt,ai_suggestion_category,ai_suggestion_summary,learner_change_summary,disclosure_quality,human_verified,trace_ts
AI_core_L13_01_024_06_03,core_L13_01_024_06_03,L13_01_024,C13_01,S_C13_01_06,1-3,teacher_led,Give feedback on this idea for lunch box is hard to open and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-09T11:17:00
AI_core_L13_01_024_08_05,core_L13_01_024_08_05,L13_01_024,C13_01,S_C13_01_08,1-3,teacher_led,Give feedback on this idea for lunch box is hard to open and tell me one thing to improve.,feedback,pointed out one weak part to improve,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-23T11:49:00
AI_core_L13_01_026_06_03,core_L13_01_026_06_03,L13_01_026,C13_01,S_C13_01_06,1-3,teacher_led,Give a few example cases I could test for crayons roll off the desk.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-09T13:01:00
AI_core_L13_01_028_01_01,core_L13_01_028_01_01,L13_01_028,C13_01,S_C13_01_01,1-3,teacher_led,Give me 3 starting ideas for headphones get tangled for a partner in a computer station.,generic_support,suggested starter ideas,I kept one part and changed the rest with my own words/work.,complete,True,2026-02-02T13:05:00
AI_core_L13_01_029_07_04,core_L13_01_029_07_04,L13_01_029,C13_01,S_C13_01_07,1-3,teacher_led,Give feedback on this idea for books get mixed up and tell me one thing to improve.,feedback,pointed out one weak part to improve,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-16T07:39:00
AI_core_L13_01_031_03_01,core_L13_01_031_03_01,L13_01_031,C13_01,S_C13_01_03,1-3,teacher_led,Give a few example cases I could test for water bottle spills in backpacks.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-02-16T11:35:00
AI_core_L13_01_034_01_01,core_L13_01_034_01_01,L13_01_034,C13_01,S_C13_01_01,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept one part and changed the rest with my own words/work.,complete,True,2026-02-02T12:00:00
AI_core_L13_01_035_08_05,core_L13_01_035_08_05,L13_01_035,C13_01,S_C13_01_08,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-23T12:16:00
AI_core_L13_01_037_04_04,core_L13_01_037_04_04,L13_01_037,C13_01,S_C13_01_04,1-3,teacher_led,Give feedback on this idea for headphones get tangled and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-02-23T08:42:00
AI_core_L13_01_044_05_03,core_L13_01_044_05_03,L13_01_044,C13_01,S_C13_01_05,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-02T12:40:00
AI_core_L13_01_048_03_02,core_L13_01_048_03_02,L13_01_048,C13_01,S_C13_01_03,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-16T10:55:00
AI_core_L13_01_049_01_01,core_L13_01_049_01_01,L13_01_049,C13_01,S_C13_01_01,1-3,teacher_led,Give me 3 starting ideas for lunch box is hard to open for a younger student in a cafeteria.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-02T14:44:00
AI_core_L13_01_050_06_04,core_L13_01_050_06_04,L13_01_050,C13_01,S_C13_01_06,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-09T12:45:00
AI_core_L13_01_056_06_04,core_L13_01_056_06_04,L13_01_056,C13_01,S_C13_01_06,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept one part and changed the rest with my own words/work.,partial,True,2026-03-09T12:52:00
AI_core_L13_01_059_01_01,core_L13_01_059_01_01,L13_01_059,C13_01,S_C13_01_01,1-3,teacher_led,Give me 3 starting ideas for papers fall out of folders for a teacher in a homework bin.,generic_support,suggested starter ideas,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-02-02T07:53:00
AI_core_L13_02_003_03_02,core_L13_02_003_03_02,L13_02_003,C13_02,S_C13_02_03,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept one part and changed the rest with my own words/work.,partial,True,2026-02-23T11:31:00
AI_core_L13_02_003_06_04,core_L13_02_003_06_04,L13_02_003,C13_02,S_C13_02_06,1-3,teacher_led,Give me 3 starting ideas for papers fall out of folders for a teacher in a homework bin.,generic_support,suggested starter ideas,I kept one part and changed the rest with my own words/work.,complete,True,2026-03-16T09:12:00
AI_core_L13_02_005_05_03,core_L13_02_005_05_03,L13_02_005,C13_02,S_C13_02_05,1-3,teacher_led,Give me 3 starting ideas for plants are forgotten for a class in a window garden.,generic_support,suggested starter ideas,I kept one part and changed the rest with my own words/work.,partial,True,2026-03-09T10:08:00
AI_core_L13_02_012_07_04,core_L13_02_012_07_04,L13_02_012,C13_02,S_C13_02_07,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-23T11:29:00
AI_core_L13_02_013_04_03,core_L13_02_013_04_03,L13_02_013,C13_02,S_C13_02_04,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-02T12:53:00
AI_core_L13_02_013_05_04,core_L13_02_013_05_04,L13_02_013,C13_02,S_C13_02_05,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-09T08:30:00
AI_core_L13_02_014_07_04,core_L13_02_014_07_04,L13_02_014,C13_02,S_C13_02_07,1-3,teacher_led,Give me 3 starting ideas for lunch box is hard to open for a younger student in a cafeteria.,generic_support,suggested starter ideas,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-23T14:14:00
AI_core_L13_02_015_04_02,core_L13_02_015_04_02,L13_02_015,C13_02,S_C13_02_04,1-3,teacher_led,Give feedback on this idea for headphones get tangled and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-02T14:21:00
AI_core_L13_02_023_06_03,core_L13_02_023_06_03,L13_02_023,C13_02,S_C13_02_06,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-16T12:12:00
AI_core_L13_02_025_01_01,core_L13_02_025_01_01,L13_02_025,C13_02,S_C13_02_01,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept one part and changed the rest with my own words/work.,partial,True,2026-02-09T10:30:00
AI_core_L13_02_030_08_05,core_L13_02_030_08_05,L13_02_030,C13_02,S_C13_02_08,1-3,teacher_led,Give feedback on this idea for plants are forgotten and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-30T10:51:00
AI_core_L13_02_032_01_01,core_L13_02_032_01_01,L13_02_032,C13_02,S_C13_02_01,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-02-09T12:13:00
AI_core_L13_02_033_08_05,core_L13_02_033_08_05,L13_02_033,C13_02,S_C13_02_08,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-30T14:13:00
AI_core_L13_02_036_05_02,core_L13_02_036_05_02,L13_02_036,C13_02,S_C13_02_05,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-09T12:52:00
AI_core_L13_02_036_06_03,core_L13_02_036_06_03,L13_02_036,C13_02,S_C13_02_06,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-16T08:50:00
AI_core_L13_02_037_08_05,core_L13_02_037_08_05,L13_02_037,C13_02,S_C13_02_08,1-3,teacher_led,Give a few example cases I could test for water bottle spills in backpacks.,example_list,suggested additional test examples,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-30T10:52:00
AI_core_L13_02_040_01_01,core_L13_02_040_01_01,L13_02_040,C13_02,S_C13_02_01,1-3,teacher_led,Give feedback on this idea for crayons roll off the desk and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-09T13:35:00
AI_core_L13_02_040_04_04,core_L13_02_040_04_04,L13_02_040,C13_02,S_C13_02_04,1-3,teacher_led,Give me 3 starting ideas for crayons roll off the desk for a friend in a art table.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-02T13:55:00
AI_core_L13_02_041_04_03,core_L13_02_041_04_03,L13_02_041,C13_02,S_C13_02_04,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-02T10:41:00
AI_core_L13_02_043_06_05,core_L13_02_043_06_05,L13_02_043,C13_02,S_C13_02_06,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T08:00:00
AI_core_L13_02_046_06_05,core_L13_02_046_06_05,L13_02_046,C13_02,S_C13_02_06,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T09:49:00
AI_core_L13_02_048_01_01,core_L13_02_048_01_01,L13_02_048,C13_02,S_C13_02_01,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-02-09T10:39:00
AI_core_L13_02_049_04_02,core_L13_02_049_04_02,L13_02_049,C13_02,S_C13_02_04,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-02T07:54:00
AI_core_L13_02_050_05_02,core_L13_02_050_05_02,L13_02_050,C13_02,S_C13_02_05,1-3,teacher_led,Give me 3 starting ideas for markers dry out for a art helper in a maker shelf.,generic_support,suggested starter ideas,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-09T10:26:00
AI_core_L13_02_059_04_02,core_L13_02_059_04_02,L13_02_059,C13_02,S_C13_02_04,1-3,teacher_led,Give me 3 starting ideas for lunch box is hard to open for a younger student in a cafeteria.,generic_support,suggested starter ideas,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-02T10:14:00
AI_core_L13_03_003_05_03,core_L13_03_003_05_03,L13_03_003,C13_03,S_C13_03_05,1-3,teacher_led,Give feedback on this idea for headphones get tangled and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T12:15:00
AI_core_L13_03_006_07_04,core_L13_03_006_07_04,L13_03_006,C13_03,S_C13_03_07,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-30T14:47:00
AI_core_L13_03_013_08_05,core_L13_03_013_08_05,L13_03_013,C13_03,S_C13_03_08,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T12:12:00
AI_core_L13_03_016_02_02,core_L13_03_016_02_02,L13_03_016,C13_03,S_C13_03_02,1-3,teacher_led,Give me 3 starting ideas for markers dry out for a art helper in a maker shelf.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-23T14:22:00
AI_core_L13_03_017_06_05,core_L13_03_017_06_05,L13_03_017,C13_03,S_C13_03_06,1-3,teacher_led,Give me 3 starting ideas for markers dry out for a art helper in a maker shelf.,generic_support,suggested starter ideas,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-23T13:00:00
AI_core_L13_03_018_06_04,core_L13_03_018_06_04,L13_03_018,C13_03,S_C13_03_06,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-23T11:23:00
AI_core_L13_03_019_04_03,core_L13_03_019_04_03,L13_03_019,C13_03,S_C13_03_04,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-09T14:03:00
AI_core_L13_03_021_03_01,core_L13_03_021_03_01,L13_03_021,C13_03,S_C13_03_03,1-3,teacher_led,Give a few example cases I could test for lunch box is hard to open.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-02T13:51:00
AI_core_L13_03_022_05_03,core_L13_03_022_05_03,L13_03_022,C13_03,S_C13_03_05,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T12:08:00
AI_core_L13_03_024_07_04,core_L13_03_024_07_04,L13_03_024,C13_03,S_C13_03_07,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-30T10:24:00
AI_core_L13_03_024_08_05,core_L13_03_024_08_05,L13_03_024,C13_03,S_C13_03_08,1-3,teacher_led,Give me 3 starting ideas for markers dry out for a art helper in a maker shelf.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T12:10:00
AI_core_L13_03_028_05_03,core_L13_03_028_05_03,L13_03_028,C13_03,S_C13_03_05,1-3,teacher_led,Give me 3 starting ideas for water bottle spills in backpacks for a student in a classroom.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T14:19:00
AI_core_L13_03_032_05_04,core_L13_03_032_05_04,L13_03_032,C13_03,S_C13_03_05,1-3,teacher_led,Give a few example cases I could test for plants are forgotten.,example_list,suggested additional test examples,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-16T08:48:00
AI_core_L13_03_033_08_05,core_L13_03_033_08_05,L13_03_033,C13_03,S_C13_03_08,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T12:07:00
AI_core_L13_03_034_08_05,core_L13_03_034_08_05,L13_03_034,C13_03,S_C13_03_08,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-04-06T07:56:00
AI_core_L13_03_035_07_05,core_L13_03_035_07_05,L13_03_035,C13_03,S_C13_03_07,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-30T11:00:00
AI_core_L13_03_039_07_05,core_L13_03_039_07_05,L13_03_039,C13_03,S_C13_03_07,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-30T11:54:00
AI_core_L13_03_044_03_02,core_L13_03_044_03_02,L13_03_044,C13_03,S_C13_03_03,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-02T11:29:00
AI_core_L13_03_045_08_05,core_L13_03_045_08_05,L13_03_045,C13_03,S_C13_03_08,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T09:22:00
AI_core_L13_03_046_03_03,core_L13_03_046_03_03,L13_03_046,C13_03,S_C13_03_03,1-3,teacher_led,Give a few example cases I could test for crayons roll off the desk.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-02T14:44:00
AI_core_L13_03_052_05_03,core_L13_03_052_05_03,L13_03_052,C13_03,S_C13_03_05,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-16T14:09:00
AI_core_L13_03_054_04_04,core_L13_03_054_04_04,L13_03_054,C13_03,S_C13_03_04,1-3,teacher_led,Give feedback on this idea for water bottle spills in backpacks and tell me one thing to improve.,feedback,pointed out one weak part to improve,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,False,2026-03-09T12:08:00
AI_core_L13_03_057_02_01,core_L13_03_057_02_01,L13_03_057,C13_03,S_C13_03_02,1-3,teacher_led,Give feedback on this idea for books get mixed up and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-23T08:31:00
AI_core_L13_03_058_03_03,core_L13_03_058_03_03,L13_03_058,C13_03,S_C13_03_03,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-02T14:36:00
AI_core_L13_03_060_05_03,core_L13_03_060_05_03,L13_03_060,C13_03,S_C13_03_05,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-16T09:21:00
AI_core_L13_04_005_04_03,core_L13_04_005_04_03,L13_04_005,C13_04,S_C13_04_04,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-16T11:24:00
AI_core_L13_04_007_05_03,core_L13_04_007_05_03,L13_04_007,C13_04,S_C13_04_05,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-23T10:18:00
AI_core_L13_04_008_05_05,core_L13_04_008_05_05,L13_04_008,C13_04,S_C13_04_05,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-23T14:46:00
AI_core_L13_04_015_05_02,core_L13_04_015_05_02,L13_04_015,C13_04,S_C13_04_05,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-23T08:27:00
AI_core_L13_04_015_06_03,core_L13_04_015_06_03,L13_04_015,C13_04,S_C13_04_06,1-3,teacher_led,Give a few example cases I could test for papers fall out of folders.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-30T09:31:00
AI_core_L13_04_020_08_05,core_L13_04_020_08_05,L13_04_020,C13_04,S_C13_04_08,1-3,teacher_led,Give a few example cases I could test for water bottle spills in backpacks.,example_list,suggested additional test examples,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-13T10:12:00
AI_core_L13_04_023_01_01,core_L13_04_023_01_01,L13_04_023,C13_04,S_C13_04_01,1-3,teacher_led,Give feedback on this idea for books get mixed up and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-02-23T07:50:00
AI_core_L13_04_025_07_05,core_L13_04_025_07_05,L13_04_025,C13_04,S_C13_04_07,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-04-06T14:18:00
AI_core_L13_04_027_03_01,core_L13_04_027_03_01,L13_04_027,C13_04,S_C13_04_03,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I kept one part and changed the rest with my own words/work.,complete,True,2026-03-09T14:04:00
AI_core_L13_04_030_01_01,core_L13_04_030_01_01,L13_04_030,C13_04,S_C13_04_01,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-23T08:28:00
AI_core_L13_04_031_07_04,core_L13_04_031_07_04,L13_04_031,C13_04,S_C13_04_07,1-3,teacher_led,Give feedback on this idea for papers fall out of folders and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T08:56:00
AI_core_L13_04_032_08_05,core_L13_04_032_08_05,L13_04_032,C13_04,S_C13_04_08,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-04-13T13:42:00
AI_core_L13_04_037_08_05,core_L13_04_037_08_05,L13_04_037,C13_04,S_C13_04_08,1-3,teacher_led,Give me 3 starting ideas for markers dry out for a art helper in a maker shelf.,generic_support,suggested starter ideas,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-13T08:24:00
AI_core_L13_04_040_06_04,core_L13_04_040_06_04,L13_04_040,C13_04,S_C13_04_06,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-30T11:24:00
AI_core_L13_04_046_07_04,core_L13_04_046_07_04,L13_04_046,C13_04,S_C13_04_07,1-3,teacher_led,"Help me organize my notes into problem, evidence, and next step.",wording_help,suggested a clearer structure for notes,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-04-06T12:51:00
AI_core_L13_04_047_08_05,core_L13_04_047_08_05,L13_04_047,C13_04,S_C13_04_08,1-3,teacher_led,Give feedback on this idea for plants are forgotten and tell me one thing to improve.,feedback,pointed out one weak part to improve,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-04-13T08:28:00
AI_core_L13_04_050_04_02,core_L13_04_050_04_02,L13_04_050,C13_04,S_C13_04_04,1-3,teacher_led,Give a few example cases I could test for plants are forgotten.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-16T13:13:00
