feedback_id,record_id,learner_id,cohort_id,session_id,feedback_focus,peer_feedback,revision_requested,feedback_ts
PF_core_L13_01_007_01_01,core_L13_01_007_01_01,L13_01_007,C13_01,S_C13_01_01,user_focus,The claim is strong; name the boundary condition sooner.,False,2026-02-02T09:01:00
PF_core_L13_01_007_05_02,core_L13_01_007_05_02,L13_01_007,C13_01,S_C13_01_05,user_focus,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-02T10:54:00
PF_core_L13_01_007_06_03,core_L13_01_007_06_03,L13_01_007,C13_01,S_C13_01_06,clarity,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-09T10:51:00
PF_core_L13_01_007_07_04,core_L13_01_007_07_04,L13_01_007,C13_01,S_C13_01_07,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T08:33:00
PF_core_L13_01_007_08_05,core_L13_01_007_08_05,L13_01_007,C13_01,S_C13_01_08,clarity,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-23T12:34:00
PF_core_L13_01_008_03_02,core_L13_01_008_03_02,L13_01_008,C13_01,S_C13_01_03,user_focus,Explain one step more clearly.,True,2026-02-16T11:37:00
PF_core_L13_01_008_06_04,core_L13_01_008_06_04,L13_01_008,C13_01,S_C13_01_06,evidence,Explain one step more clearly.,True,2026-03-09T08:53:00
PF_core_L13_01_008_07_05,core_L13_01_008_07_05,L13_01_008,C13_01,S_C13_01_07,revision,Show which part changed after feedback.,True,2026-03-16T08:10:00
PF_core_L13_01_009_02_01,core_L13_01_009_02_01,L13_01_009,C13_01,S_C13_01_02,evidence,Your idea is clear; add the strongest evidence first.,False,2026-02-09T09:17:00
PF_core_L13_01_009_04_02,core_L13_01_009_04_02,L13_01_009,C13_01,S_C13_01_04,user_focus,Show the limitation earlier so the claim feels more honest.,False,2026-02-23T14:34:00
PF_core_L13_01_009_07_04,core_L13_01_009_07_04,L13_01_009,C13_01,S_C13_01_07,clarity,The claim is strong; name the boundary condition sooner.,False,2026-03-16T09:42:00
PF_core_L13_01_009_08_05,core_L13_01_009_08_05,L13_01_009,C13_01,S_C13_01_08,clarity,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-23T08:48:00
PF_core_L13_01_010_01_01,core_L13_01_010_01_01,L13_01_010,C13_01,S_C13_01_01,evidence,Show which part changed after feedback.,True,2026-02-02T11:35:00
PF_core_L13_01_010_06_03,core_L13_01_010_06_03,L13_01_010,C13_01,S_C13_01_06,evidence,Show the limitation earlier so the claim feels more honest.,True,2026-03-09T09:20:00
PF_core_L13_01_010_07_04,core_L13_01_010_07_04,L13_01_010,C13_01,S_C13_01_07,clarity,The claim is strong; name the boundary condition sooner.,True,2026-03-16T14:52:00
PF_core_L13_01_011_01_01,core_L13_01_011_01_01,L13_01_011,C13_01,S_C13_01_01,revision,Point to the evidence behind that claim.,False,2026-02-02T13:44:00
PF_core_L13_01_011_02_02,core_L13_01_011_02_02,L13_01_011,C13_01,S_C13_01_02,evidence,Explain why that revision came before the others.,False,2026-02-09T10:42:00
PF_core_L13_01_011_05_03,core_L13_01_011_05_03,L13_01_011,C13_01,S_C13_01_05,revision,Show the limitation earlier so the claim feels more honest.,False,2026-03-02T14:53:00
PF_core_L13_01_011_07_04,core_L13_01_011_07_04,L13_01_011,C13_01,S_C13_01_07,limitations,Your idea is clear; add the strongest evidence first.,False,2026-03-16T12:32:00
PF_core_L13_01_012_02_02,core_L13_01_012_02_02,L13_01_012,C13_01,S_C13_01_02,user_focus,Point to the evidence behind that claim.,False,2026-02-09T11:51:00
PF_core_L13_01_012_04_04,core_L13_01_012_04_04,L13_01_012,C13_01,S_C13_01_04,evidence,Explain why that revision came before the others.,False,2026-02-23T13:44:00
PF_core_L13_01_013_01_01,core_L13_01_013_01_01,L13_01_013,C13_01,S_C13_01_01,clarity,Point to the evidence behind that claim.,False,2026-02-02T09:20:00
PF_core_L13_01_013_03_02,core_L13_01_013_03_02,L13_01_013,C13_01,S_C13_01_03,clarity,Show which part changed after feedback.,True,2026-02-16T09:29:00
PF_core_L13_01_013_05_03,core_L13_01_013_05_03,L13_01_013,C13_01,S_C13_01_05,evidence,Your idea is clear; add the strongest evidence first.,False,2026-03-02T13:20:00
PF_core_L13_01_013_07_05,core_L13_01_013_07_05,L13_01_013,C13_01,S_C13_01_07,user_focus,Explain why that revision came before the others.,False,2026-03-16T11:15:00
PF_core_L13_01_014_01_01,core_L13_01_014_01_01,L13_01_014,C13_01,S_C13_01_01,safety,Strong reasoning—tighten the link between evidence and uncertainty.,True,2026-02-02T09:22:00
PF_core_L13_01_014_07_05,core_L13_01_014_07_05,L13_01_014,C13_01,S_C13_01_07,user_focus,Strong reasoning—tighten the link between evidence and uncertainty.,True,2026-03-16T14:27:00
PF_core_L13_01_015_02_01,core_L13_01_015_02_01,L13_01_015,C13_01,S_C13_01_02,safety,Point to the evidence behind that claim.,True,2026-02-09T10:03:00
PF_core_L13_01_015_04_03,core_L13_01_015_04_03,L13_01_015,C13_01,S_C13_01_04,user_focus,Your idea is clear; add the strongest evidence first.,False,2026-02-23T11:34:00
PF_core_L13_01_015_05_04,core_L13_01_015_05_04,L13_01_015,C13_01,S_C13_01_05,revision,Explain why that revision came before the others.,True,2026-03-02T12:30:00
PF_core_L13_01_016_06_04,core_L13_01_016_06_04,L13_01_016,C13_01,S_C13_01_06,limitations,Point to the evidence behind that claim.,True,2026-03-09T10:49:00
PF_core_L13_01_016_08_05,core_L13_01_016_08_05,L13_01_016,C13_01,S_C13_01_08,safety,Show which part changed after feedback.,True,2026-03-23T14:42:00
PF_core_L13_01_017_01_01,core_L13_01_017_01_01,L13_01_017,C13_01,S_C13_01_01,evidence,Say who this helps.,True,2026-02-02T09:45:00
PF_core_L13_01_017_02_02,core_L13_01_017_02_02,L13_01_017,C13_01,S_C13_01_02,evidence,Show the evidence you used.,True,2026-02-09T08:20:00
PF_core_L13_01_017_06_03,core_L13_01_017_06_03,L13_01_017,C13_01,S_C13_01_06,evidence,Make one part clearer.,True,2026-03-09T09:50:00
PF_core_L13_01_017_07_04,core_L13_01_017_07_04,L13_01_017,C13_01,S_C13_01_07,evidence,Point to the evidence behind that claim.,False,2026-03-16T08:51:00
PF_core_L13_01_017_08_05,core_L13_01_017_08_05,L13_01_017,C13_01,S_C13_01_08,revision,Show which part changed after feedback.,True,2026-03-23T14:30:00
PF_core_L13_01_018_01_01,core_L13_01_018_01_01,L13_01_018,C13_01,S_C13_01_01,safety,Point to the evidence behind that claim.,False,2026-02-02T08:54:00
PF_core_L13_01_018_03_02,core_L13_01_018_03_02,L13_01_018,C13_01,S_C13_01_03,user_focus,Show which part changed after feedback.,True,2026-02-16T08:33:00
PF_core_L13_01_018_07_04,core_L13_01_018_07_04,L13_01_018,C13_01,S_C13_01_07,safety,Point to the evidence behind that claim.,False,2026-03-16T10:14:00
PF_core_L13_01_018_08_05,core_L13_01_018_08_05,L13_01_018,C13_01,S_C13_01_08,evidence,Explain one step more clearly.,False,2026-03-23T14:31:00
PF_core_L13_01_019_02_02,core_L13_01_019_02_02,L13_01_019,C13_01,S_C13_01_02,user_focus,Show the limitation earlier so the claim feels more honest.,False,2026-02-09T13:25:00
PF_core_L13_01_019_03_03,core_L13_01_019_03_03,L13_01_019,C13_01,S_C13_01_03,safety,Show the limitation earlier so the claim feels more honest.,False,2026-02-16T13:42:00
PF_core_L13_01_019_06_04,core_L13_01_019_06_04,L13_01_019,C13_01,S_C13_01_06,user_focus,Explain why that revision came before the others.,False,2026-03-09T08:59:00
PF_core_L13_01_019_07_05,core_L13_01_019_07_05,L13_01_019,C13_01,S_C13_01_07,limitations,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T12:54:00
PF_core_L13_01_020_03_02,core_L13_01_020_03_02,L13_01_020,C13_01,S_C13_01_03,safety,Your idea is clear; add the strongest evidence first.,False,2026-02-16T08:43:00
PF_core_L13_01_020_06_04,core_L13_01_020_06_04,L13_01_020,C13_01,S_C13_01_06,revision,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-09T08:35:00
PF_core_L13_01_021_03_02,core_L13_01_021_03_02,L13_01_021,C13_01,S_C13_01_03,safety,Your idea is clear; add the strongest evidence first.,False,2026-02-16T11:44:00
PF_core_L13_01_021_04_03,core_L13_01_021_04_03,L13_01_021,C13_01,S_C13_01_04,clarity,Show the limitation earlier so the claim feels more honest.,False,2026-02-23T13:26:00
PF_core_L13_01_021_05_04,core_L13_01_021_05_04,L13_01_021,C13_01,S_C13_01_05,evidence,The claim is strong; name the boundary condition sooner.,False,2026-03-02T09:08:00
PF_core_L13_01_021_06_05,core_L13_01_021_06_05,L13_01_021,C13_01,S_C13_01_06,clarity,Show the limitation earlier so the claim feels more honest.,False,2026-03-09T09:46:00
PF_core_L13_01_022_01_01,core_L13_01_022_01_01,L13_01_022,C13_01,S_C13_01_01,revision,Make one part clearer.,True,2026-02-02T11:10:00
PF_core_L13_01_022_04_02,core_L13_01_022_04_02,L13_01_022,C13_01,S_C13_01_04,revision,Say who this helps.,True,2026-02-23T11:35:00
PF_core_L13_01_022_05_03,core_L13_01_022_05_03,L13_01_022,C13_01,S_C13_01_05,safety,Point to the evidence behind that claim.,False,2026-03-02T09:24:00
PF_core_L13_01_022_06_04,core_L13_01_022_06_04,L13_01_022,C13_01,S_C13_01_06,evidence,Explain one step more clearly.,False,2026-03-09T09:42:00
PF_core_L13_01_023_02_01,core_L13_01_023_02_01,L13_01_023,C13_01,S_C13_01_02,evidence,Your idea is clear; add the strongest evidence first.,False,2026-02-09T12:07:00
PF_core_L13_01_023_03_02,core_L13_01_023_03_02,L13_01_023,C13_01,S_C13_01_03,safety,Explain why that revision came before the others.,False,2026-02-16T09:23:00
PF_core_L13_01_023_06_03,core_L13_01_023_06_03,L13_01_023,C13_01,S_C13_01_06,safety,Explain why that revision came before the others.,False,2026-03-09T08:47:00
PF_core_L13_01_023_07_04,core_L13_01_023_07_04,L13_01_023,C13_01,S_C13_01_07,clarity,Your idea is clear; add the strongest evidence first.,False,2026-03-16T10:32:00
PF_core_L13_01_023_08_05,core_L13_01_023_08_05,L13_01_023,C13_01,S_C13_01_08,limitations,Explain why that revision came before the others.,False,2026-03-23T14:57:00
PF_core_L13_01_024_05_02,core_L13_01_024_05_02,L13_01_024,C13_01,S_C13_01_05,evidence,Your idea is clear; add the strongest evidence first.,False,2026-03-02T10:55:00
PF_core_L13_01_024_06_03,core_L13_01_024_06_03,L13_01_024,C13_01,S_C13_01_06,user_focus,Show the limitation earlier so the claim feels more honest.,False,2026-03-09T12:01:00
PF_core_L13_01_024_07_04,core_L13_01_024_07_04,L13_01_024,C13_01,S_C13_01_07,evidence,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-16T12:07:00
PF_core_L13_01_025_03_01,core_L13_01_025_03_01,L13_01_025,C13_01,S_C13_01_03,revision,Explain one step more clearly.,False,2026-02-16T09:29:00
PF_core_L13_01_025_05_03,core_L13_01_025_05_03,L13_01_025,C13_01,S_C13_01_05,clarity,Explain one step more clearly.,False,2026-03-02T12:50:00
PF_core_L13_01_025_06_04,core_L13_01_025_06_04,L13_01_025,C13_01,S_C13_01_06,user_focus,Show the limitation earlier so the claim feels more honest.,False,2026-03-09T13:07:00
PF_core_L13_01_025_07_05,core_L13_01_025_07_05,L13_01_025,C13_01,S_C13_01_07,safety,Your idea is clear; add the strongest evidence first.,False,2026-03-16T10:33:00
PF_core_L13_01_026_01_01,core_L13_01_026_01_01,L13_01_026,C13_01,S_C13_01_01,revision,Point to the evidence behind that claim.,True,2026-02-02T10:45:00
PF_core_L13_01_026_06_03,core_L13_01_026_06_03,L13_01_026,C13_01,S_C13_01_06,clarity,Point to the evidence behind that claim.,False,2026-03-09T13:21:00
PF_core_L13_01_026_07_04,core_L13_01_026_07_04,L13_01_026,C13_01,S_C13_01_07,revision,Explain why that revision came before the others.,False,2026-03-16T09:32:00
PF_core_L13_01_027_04_02,core_L13_01_027_04_02,L13_01_027,C13_01,S_C13_01_04,revision,Explain one step more clearly.,False,2026-02-23T15:10:00
PF_core_L13_01_027_06_03,core_L13_01_027_06_03,L13_01_027,C13_01,S_C13_01_06,clarity,Explain one step more clearly.,False,2026-03-09T14:50:00
PF_core_L13_01_027_07_04,core_L13_01_027_07_04,L13_01_027,C13_01,S_C13_01_07,limitations,Show the limitation earlier so the claim feels more honest.,False,2026-03-16T13:09:00
PF_core_L13_01_027_08_05,core_L13_01_027_08_05,L13_01_027,C13_01,S_C13_01_08,user_focus,Point to the evidence behind that claim.,False,2026-03-23T10:30:00
PF_core_L13_01_028_01_01,core_L13_01_028_01_01,L13_01_028,C13_01,S_C13_01_01,limitations,Show the evidence you used.,True,2026-02-02T13:26:00
PF_core_L13_01_028_02_02,core_L13_01_028_02_02,L13_01_028,C13_01,S_C13_01_02,safety,Make one part clearer.,True,2026-02-09T10:01:00
PF_core_L13_01_028_05_03,core_L13_01_028_05_03,L13_01_028,C13_01,S_C13_01_05,user_focus,Explain one step more clearly.,True,2026-03-02T10:13:00
PF_core_L13_01_028_07_04,core_L13_01_028_07_04,L13_01_028,C13_01,S_C13_01_07,evidence,Point to the evidence behind that claim.,True,2026-03-16T14:31:00
PF_core_L13_01_029_01_01,core_L13_01_029_01_01,L13_01_029,C13_01,S_C13_01_01,evidence,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-02-02T09:14:00
PF_core_L13_01_029_04_03,core_L13_01_029_04_03,L13_01_029,C13_01,S_C13_01_04,clarity,The claim is strong; name the boundary condition sooner.,False,2026-02-23T09:46:00
PF_core_L13_01_029_08_05,core_L13_01_029_08_05,L13_01_029,C13_01,S_C13_01_08,safety,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-23T13:49:00
PF_core_L13_01_030_01_01,core_L13_01_030_01_01,L13_01_030,C13_01,S_C13_01_01,revision,The claim is strong; name the boundary condition sooner.,False,2026-02-02T12:11:00
PF_core_L13_01_030_04_02,core_L13_01_030_04_02,L13_01_030,C13_01,S_C13_01_04,evidence,Show the limitation earlier so the claim feels more honest.,False,2026-02-23T10:54:00
PF_core_L13_01_030_06_03,core_L13_01_030_06_03,L13_01_030,C13_01,S_C13_01_06,revision,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-09T12:33:00
PF_core_L13_01_030_07_04,core_L13_01_030_07_04,L13_01_030,C13_01,S_C13_01_07,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T15:01:00
PF_core_L13_01_031_06_03,core_L13_01_031_06_03,L13_01_031,C13_01,S_C13_01_06,revision,Show which part changed after feedback.,True,2026-03-09T12:28:00
PF_core_L13_01_031_07_04,core_L13_01_031_07_04,L13_01_031,C13_01,S_C13_01_07,evidence,Your idea is clear; add the strongest evidence first.,False,2026-03-16T10:21:00
PF_core_L13_01_031_08_05,core_L13_01_031_08_05,L13_01_031,C13_01,S_C13_01_08,limitations,Show the limitation earlier so the claim feels more honest.,True,2026-03-23T09:36:00
PF_core_L13_01_032_01_01,core_L13_01_032_01_01,L13_01_032,C13_01,S_C13_01_01,safety,Show which part changed after feedback.,True,2026-02-02T13:53:00
PF_core_L13_01_032_02_02,core_L13_01_032_02_02,L13_01_032,C13_01,S_C13_01_02,evidence,Show which part changed after feedback.,True,2026-02-09T13:29:00
PF_core_L13_01_032_03_03,core_L13_01_032_03_03,L13_01_032,C13_01,S_C13_01_03,safety,Show which part changed after feedback.,True,2026-02-16T08:49:00
PF_core_L13_01_032_06_04,core_L13_01_032_06_04,L13_01_032,C13_01,S_C13_01_06,revision,Show which part changed after feedback.,True,2026-03-09T10:02:00
PF_core_L13_01_032_07_05,core_L13_01_032_07_05,L13_01_032,C13_01,S_C13_01_07,limitations,Your idea is clear; add the strongest evidence first.,False,2026-03-16T09:31:00
PF_core_L13_01_033_03_02,core_L13_01_033_03_02,L13_01_033,C13_01,S_C13_01_03,limitations,The claim is strong; name the boundary condition sooner.,True,2026-02-16T09:45:00
PF_core_L13_01_033_07_05,core_L13_01_033_07_05,L13_01_033,C13_01,S_C13_01_07,safety,The claim is strong; name the boundary condition sooner.,True,2026-03-16T08:16:00
PF_core_L13_01_034_01_01,core_L13_01_034_01_01,L13_01_034,C13_01,S_C13_01_01,evidence,Say who this helps.,True,2026-02-02T12:19:00
PF_core_L13_01_034_03_03,core_L13_01_034_03_03,L13_01_034,C13_01,S_C13_01_03,clarity,Explain one step more clearly.,False,2026-02-16T13:25:00
PF_core_L13_01_034_07_04,core_L13_01_034_07_04,L13_01_034,C13_01,S_C13_01_07,user_focus,Make one part clearer.,True,2026-03-16T08:35:00
PF_core_L13_01_035_01_01,core_L13_01_035_01_01,L13_01_035,C13_01,S_C13_01_01,safety,Explain one step more clearly.,False,2026-02-02T13:39:00
PF_core_L13_01_035_04_02,core_L13_01_035_04_02,L13_01_035,C13_01,S_C13_01_04,limitations,Show which part changed after feedback.,True,2026-02-23T11:19:00
PF_core_L13_01_035_05_03,core_L13_01_035_05_03,L13_01_035,C13_01,S_C13_01_05,revision,Show which part changed after feedback.,True,2026-03-02T13:01:00
PF_core_L13_01_036_01_01,core_L13_01_036_01_01,L13_01_036,C13_01,S_C13_01_01,revision,Strong reasoning—tighten the link between evidence and uncertainty.,True,2026-02-02T08:18:00
PF_core_L13_01_036_02_02,core_L13_01_036_02_02,L13_01_036,C13_01,S_C13_01_02,revision,Keep the evidence hierarchy clear so the audience sees why this decision came next.,True,2026-02-09T14:40:00
PF_core_L13_01_036_04_03,core_L13_01_036_04_03,L13_01_036,C13_01,S_C13_01_04,limitations,Explain why that revision came before the others.,True,2026-02-23T12:09:00
PF_core_L13_01_036_05_04,core_L13_01_036_05_04,L13_01_036,C13_01,S_C13_01_05,limitations,Strong reasoning—tighten the link between evidence and uncertainty.,True,2026-03-02T11:20:00
PF_core_L13_01_036_06_05,core_L13_01_036_06_05,L13_01_036,C13_01,S_C13_01_06,clarity,Keep the evidence hierarchy clear so the audience sees why this decision came next.,True,2026-03-09T15:09:00
PF_core_L13_01_037_01_01,core_L13_01_037_01_01,L13_01_037,C13_01,S_C13_01_01,safety,Explain one step more clearly.,False,2026-02-02T08:27:00
PF_core_L13_01_037_03_03,core_L13_01_037_03_03,L13_01_037,C13_01,S_C13_01_03,revision,Point to the evidence behind that claim.,True,2026-02-16T08:26:00
PF_core_L13_01_037_04_04,core_L13_01_037_04_04,L13_01_037,C13_01,S_C13_01_04,clarity,Point to the evidence behind that claim.,False,2026-02-23T09:10:00
PF_core_L13_01_037_08_05,core_L13_01_037_08_05,L13_01_037,C13_01,S_C13_01_08,safety,Show which part changed after feedback.,True,2026-03-23T10:20:00
PF_core_L13_01_038_05_02,core_L13_01_038_05_02,L13_01_038,C13_01,S_C13_01_05,evidence,Explain why that revision came before the others.,False,2026-03-02T10:55:00
PF_core_L13_01_038_06_03,core_L13_01_038_06_03,L13_01_038,C13_01,S_C13_01_06,user_focus,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-09T12:43:00
PF_core_L13_01_038_07_04,core_L13_01_038_07_04,L13_01_038,C13_01,S_C13_01_07,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T08:20:00
PF_core_L13_01_039_02_01,core_L13_01_039_02_01,L13_01_039,C13_01,S_C13_01_02,revision,Your idea is clear; add the strongest evidence first.,False,2026-02-09T10:54:00
PF_core_L13_01_039_03_02,core_L13_01_039_03_02,L13_01_039,C13_01,S_C13_01_03,clarity,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-02-16T13:33:00
PF_core_L13_01_039_05_04,core_L13_01_039_05_04,L13_01_039,C13_01,S_C13_01_05,user_focus,The claim is strong; name the boundary condition sooner.,False,2026-03-02T09:44:00
PF_core_L13_01_040_01_01,core_L13_01_040_01_01,L13_01_040,C13_01,S_C13_01_01,evidence,Your idea is clear; add the strongest evidence first.,False,2026-02-02T13:07:00
PF_core_L13_01_040_02_02,core_L13_01_040_02_02,L13_01_040,C13_01,S_C13_01_02,limitations,Show the limitation earlier so the claim feels more honest.,False,2026-02-09T14:21:00
PF_core_L13_01_040_04_03,core_L13_01_040_04_03,L13_01_040,C13_01,S_C13_01_04,revision,The claim is strong; name the boundary condition sooner.,False,2026-02-23T12:13:00
PF_core_L13_01_040_08_05,core_L13_01_040_08_05,L13_01_040,C13_01,S_C13_01_08,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-23T14:51:00
PF_core_L13_01_041_05_02,core_L13_01_041_05_02,L13_01_041,C13_01,S_C13_01_05,user_focus,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-02T10:23:00
PF_core_L13_01_041_06_03,core_L13_01_041_06_03,L13_01_041,C13_01,S_C13_01_06,evidence,The claim is strong; name the boundary condition sooner.,False,2026-03-09T10:03:00
PF_core_L13_01_041_07_04,core_L13_01_041_07_04,L13_01_041,C13_01,S_C13_01_07,clarity,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T14:01:00
PF_core_L13_01_041_08_05,core_L13_01_041_08_05,L13_01_041,C13_01,S_C13_01_08,evidence,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-23T13:21:00
PF_core_L13_01_042_03_02,core_L13_01_042_03_02,L13_01_042,C13_01,S_C13_01_03,safety,Your idea is clear; add the strongest evidence first.,False,2026-02-16T08:56:00
PF_core_L13_01_042_04_03,core_L13_01_042_04_03,L13_01_042,C13_01,S_C13_01_04,revision,Show the limitation earlier so the claim feels more honest.,False,2026-02-23T13:08:00
PF_core_L13_01_042_05_04,core_L13_01_042_05_04,L13_01_042,C13_01,S_C13_01_05,limitations,Explain why that revision came before the others.,False,2026-03-02T12:13:00
PF_core_L13_01_042_08_05,core_L13_01_042_08_05,L13_01_042,C13_01,S_C13_01_08,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-23T11:08:00
PF_core_L13_01_043_02_02,core_L13_01_043_02_02,L13_01_043,C13_01,S_C13_01_02,revision,Your idea is clear; add the strongest evidence first.,False,2026-02-09T12:16:00
PF_core_L13_01_043_06_03,core_L13_01_043_06_03,L13_01_043,C13_01,S_C13_01_06,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-09T08:32:00
PF_core_L13_01_043_07_04,core_L13_01_043_07_04,L13_01_043,C13_01,S_C13_01_07,evidence,Strong reasoning—tighten the link between evidence and uncertainty.,False,2026-03-16T11:34:00
PF_core_L13_01_044_01_01,core_L13_01_044_01_01,L13_01_044,C13_01,S_C13_01_01,clarity,Explain why that revision came before the others.,False,2026-02-02T14:58:00
PF_core_L13_01_044_04_02,core_L13_01_044_04_02,L13_01_044,C13_01,S_C13_01_04,evidence,Your idea is clear; add the strongest evidence first.,False,2026-02-23T13:59:00
PF_core_L13_01_044_05_03,core_L13_01_044_05_03,L13_01_044,C13_01,S_C13_01_05,safety,Show the limitation earlier so the claim feels more honest.,False,2026-03-02T13:16:00
PF_core_L13_01_044_07_04,core_L13_01_044_07_04,L13_01_044,C13_01,S_C13_01_07,evidence,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-16T10:04:00
PF_core_L13_01_044_08_05,core_L13_01_044_08_05,L13_01_044,C13_01,S_C13_01_08,evidence,Keep the evidence hierarchy clear so the audience sees why this decision came next.,False,2026-03-23T09:01:00
PF_core_L13_01_045_02_02,core_L13_01_045_02_02,L13_01_045,C13_01,S_C13_01_02,user_focus,Make one part clearer.,True,2026-02-09T12:53:00
PF_core_L13_01_045_04_03,core_L13_01_045_04_03,L13_01_045,C13_01,S_C13_01_04,limitations,Say who this helps.,True,2026-02-23T11:26:00
PF_core_L13_01_045_06_04,core_L13_01_045_06_04,L13_01_045,C13_01,S_C13_01_06,limitations,Show the evidence you used.,True,2026-03-09T11:51:00
PF_core_L13_01_045_08_05,core_L13_01_045_08_05,L13_01_045,C13_01,S_C13_01_08,limitations,Point to the evidence behind that claim.,False,2026-03-23T10:05:00
PF_core_L13_01_046_01_01,core_L13_01_046_01_01,L13_01_046,C13_01,S_C13_01_01,clarity,Show the evidence you used.,True,2026-02-02T10:10:00
PF_core_L13_01_046_04_02,core_L13_01_046_04_02,L13_01_046,C13_01,S_C13_01_04,clarity,Make one part clearer.,True,2026-02-23T09:30:00
PF_core_L13_01_046_08_05,core_L13_01_046_08_05,L13_01_046,C13_01,S_C13_01_08,clarity,Explain one step more clearly.,False,2026-03-23T13:14:00
