session_id,cohort_id,grade_band,unit_family,unit_label,session_index,session_title,planned_objective,scheduled_date,duration_min,delivery_mode
S_C13_10_07,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-05-18,60,blended
S_C13_10_08,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-05-25,60,blended
S_C13_11_01,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-04-13,60,blended
S_C13_11_02,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-04-20,60,blended
S_C13_11_03,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-04-27,60,blended
S_C13_11_04,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-05-04,60,blended
S_C13_11_05,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-05-11,60,blended
S_C13_11_06,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-05-18,60,blended
S_C13_11_07,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-05-25,60,blended
S_C13_11_08,C13_11,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-06-01,60,blended
S_C13_12_01,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-04-20,60,in_person
S_C13_12_02,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-04-27,60,in_person
S_C13_12_03,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-05-04,60,in_person
S_C13_12_04,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-05-11,60,in_person
S_C13_12_05,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-05-18,60,in_person
S_C13_12_06,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-05-25,60,in_person
S_C13_12_07,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-06-01,60,in_person
S_C13_12_08,C13_12,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-06-08,60,in_person
S_C46_01_01,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-02-02,75,in_person
S_C46_01_02,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-02-09,75,in_person
S_C46_01_03,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-02-16,75,in_person
S_C46_01_04,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-02-23,75,in_person
S_C46_01_05,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-03-02,75,in_person
S_C46_01_06,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-03-09,75,in_person
S_C46_01_07,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-03-16,75,in_person
S_C46_01_08,C46_01,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-03-23,75,in_person
S_C46_02_01,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-02-09,75,blended
S_C46_02_02,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-02-16,75,blended
S_C46_02_03,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-02-23,75,blended
S_C46_02_04,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-03-02,75,blended
S_C46_02_05,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-03-09,75,blended
S_C46_02_06,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-03-16,75,blended
S_C46_02_07,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-03-23,75,blended
S_C46_02_08,C46_02,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-03-30,75,blended
S_C46_03_01,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-02-16,75,blended
S_C46_03_02,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-02-23,75,blended
S_C46_03_03,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-03-02,75,blended
S_C46_03_04,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-03-09,75,blended
S_C46_03_05,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-03-16,75,blended
S_C46_03_06,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-03-23,75,blended
S_C46_03_07,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-03-30,75,blended
S_C46_03_08,C46_03,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-04-06,75,blended
S_C46_04_01,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-02-23,75,blended
S_C46_04_02,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-03-02,75,blended
S_C46_04_03,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-03-09,75,blended
S_C46_04_04,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-03-16,75,blended
S_C46_04_05,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-03-23,75,blended
S_C46_04_06,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-03-30,75,blended
S_C46_04_07,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-04-06,75,blended
S_C46_04_08,C46_04,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-04-13,75,blended
S_C46_05_01,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-03-02,75,blended
S_C46_05_02,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-03-09,75,blended
S_C46_05_03,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-03-16,75,blended
S_C46_05_04,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-03-23,75,blended
S_C46_05_05,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-03-30,75,blended
S_C46_05_06,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-04-06,75,blended
S_C46_05_07,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-04-13,75,blended
S_C46_05_08,C46_05,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-04-20,75,blended
S_C46_06_01,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-03-09,75,in_person
S_C46_06_02,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-03-16,75,in_person
S_C46_06_03,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-03-23,75,in_person
S_C46_06_04,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-03-30,75,in_person
S_C46_06_05,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-04-06,75,in_person
S_C46_06_06,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-04-13,75,in_person
S_C46_06_07,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-04-20,75,in_person
S_C46_06_08,C46_06,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-04-27,75,in_person
S_C46_07_01,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-03-16,75,in_person
S_C46_07_02,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-03-23,75,in_person
S_C46_07_03,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-03-30,75,in_person
S_C46_07_04,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-04-06,75,in_person
S_C46_07_05,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-04-13,75,in_person
S_C46_07_06,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-04-20,75,in_person
S_C46_07_07,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-04-27,75,in_person
S_C46_07_08,C46_07,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-05-04,75,in_person
S_C46_08_01,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-03-23,75,in_person
S_C46_08_02,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-03-30,75,in_person
S_C46_08_03,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-04-06,75,in_person
S_C46_08_04,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-04-13,75,in_person
S_C46_08_05,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-04-20,75,in_person
S_C46_08_06,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-04-27,75,in_person
S_C46_08_07,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-05-04,75,in_person
S_C46_08_08,C46_08,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-05-11,75,in_person
S_C46_09_01,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-03-30,75,in_person
S_C46_09_02,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-04-06,75,in_person
S_C46_09_03,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-04-13,75,in_person
S_C46_09_04,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-04-20,75,in_person
S_C46_09_05,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,5,Test With Users,Test with users and gather feedback.,2026-04-27,75,in_person
S_C46_09_06,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,6,Iterate With Evidence,Iterate using evidence from tests and data.,2026-05-04,75,in_person
S_C46_09_07,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,7,Create a Clear Pitch,Create a clear pitch backed by evidence.,2026-05-11,75,in_person
S_C46_09_08,C46_09,4-6,eco_smart_design_lab,Eco-Smart City Lab,8,Expo Day,Present the solution and reflect on impact and next steps.,2026-05-18,75,in_person
S_C46_10_01,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,1,Define a Community Challenge,Define a local community challenge with a user and context.,2026-04-06,75,blended
S_C46_10_02,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,2,Collect Simple Data,Collect simple evidence and organize notes or tallies.,2026-04-13,75,blended
S_C46_10_03,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,3,Design a Solution,Design a solution that fits the constraints.,2026-04-20,75,blended
S_C46_10_04,C46_10,4-6,eco_smart_design_lab,Eco-Smart City Lab,4,Build a Prototype,Build a prototype that addresses the challenge.,2026-04-27,75,blended
