artifact_id,record_id,learner_id,cohort_id,session_id,unit_family,artifact_type,artifact_summary,version_count,word_count_est,image_count_est,code_or_logic_steps_est,created_ts
ART_core_L13_01_004_07_05,core_L13_01_004_07_05,L13_01_004,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,26,1,0,2026-03-16T12:51:00
ART_core_L13_01_005_01_01,core_L13_01_005_01_01,L13_01_005,C13_01,S_C13_01_01,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,3,9,0,0,2026-02-02T09:14:00
ART_core_L13_01_005_02_02,core_L13_01_005_02_02,L13_01_005,C13_01,S_C13_01_02,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,2,30,0,0,2026-02-09T14:02:00
ART_core_L13_01_005_03_03,core_L13_01_005_03_03,L13_01_005,C13_01,S_C13_01_03,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,2,21,0,0,2026-02-16T13:38:00
ART_core_L13_01_005_07_04,core_L13_01_005_07_04,L13_01_005,C13_01,S_C13_01_07,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,2,14,0,0,2026-03-16T09:27:00
ART_core_L13_01_005_08_05,core_L13_01_005_08_05,L13_01_005,C13_01,S_C13_01_08,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing headphones get tangled,2,35,1,0,2026-03-23T13:53:00
ART_core_L13_01_006_02_01,core_L13_01_006_02_01,L13_01_006,C13_01,S_C13_01_02,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the window garden,2,30,0,0,2026-02-09T10:29:00
ART_core_L13_01_006_03_02,core_L13_01_006_03_02,L13_01_006,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,38,1,0,2026-02-16T12:41:00
ART_core_L13_01_006_06_04,core_L13_01_006_06_04,L13_01_006,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,1,31,1,5,2026-03-09T11:20:00
ART_core_L13_01_006_07_05,core_L13_01_006_07_05,L13_01_006,C13_01,S_C13_01_07,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the window garden,1,20,0,0,2026-03-16T08:19:00
ART_core_L13_01_007_01_01,core_L13_01_007_01_01,L13_01_007,C13_01,S_C13_01_01,helpful_invention_studio,journal_page,"journal page naming the art helper and the problem, plus one test note",3,31,0,0,2026-02-02T08:15:00
ART_core_L13_01_007_05_02,core_L13_01_007_05_02,L13_01_007,C13_01,S_C13_01_05,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for markers dry out in the maker shelf,3,35,1,0,2026-03-02T10:08:00
ART_core_L13_01_007_06_03,core_L13_01_007_06_03,L13_01_007,C13_01,S_C13_01_06,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing markers dry out,3,20,1,0,2026-03-09T10:02:00
ART_core_L13_01_007_07_04,core_L13_01_007_07_04,L13_01_007,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing markers dry out,1,33,1,0,2026-03-16T07:57:00
ART_core_L13_01_007_08_05,core_L13_01_007_08_05,L13_01_007,C13_01,S_C13_01_08,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing markers dry out,2,29,1,0,2026-03-23T11:57:00
ART_core_L13_01_008_02_01,core_L13_01_008_02_01,L13_01_008,C13_01,S_C13_01_02,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for crayons roll off the desk in the art table,1,31,1,0,2026-02-09T13:02:00
ART_core_L13_01_008_03_02,core_L13_01_008_03_02,L13_01_008,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing crayons roll off the desk,1,26,1,0,2026-02-16T11:19:00
ART_core_L13_01_008_04_03,core_L13_01_008_04_03,L13_01_008,C13_01,S_C13_01_04,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the art table,3,14,0,0,2026-02-23T13:48:00
ART_core_L13_01_008_06_04,core_L13_01_008_06_04,L13_01_008,C13_01,S_C13_01_06,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing crayons roll off the desk,3,29,1,0,2026-03-09T08:44:00
ART_core_L13_01_008_07_05,core_L13_01_008_07_05,L13_01_008,C13_01,S_C13_01_07,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the art table,2,24,0,0,2026-03-16T07:39:00
ART_core_L13_01_009_02_01,core_L13_01_009_02_01,L13_01_009,C13_01,S_C13_01_02,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,2,28,1,0,2026-02-09T08:37:00
ART_core_L13_01_009_04_02,core_L13_01_009_04_02,L13_01_009,C13_01,S_C13_01_04,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,1,26,1,0,2026-02-23T13:49:00
ART_core_L13_01_009_06_03,core_L13_01_009_06_03,L13_01_009,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,3,48,1,0,2026-03-09T13:24:00
ART_core_L13_01_009_08_05,core_L13_01_009_08_05,L13_01_009,C13_01,S_C13_01_08,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,2,18,1,0,2026-03-23T08:00:00
ART_core_L13_01_010_01_01,core_L13_01_010_01_01,L13_01_010,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing books get mixed up,3,16,1,0,2026-02-02T11:17:00
ART_core_L13_01_010_04_02,core_L13_01_010_04_02,L13_01_010,C13_01,S_C13_01_04,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for books get mixed up in the reading corner,3,12,1,0,2026-02-23T13:15:00
ART_core_L13_01_010_06_03,core_L13_01_010_06_03,L13_01_010,C13_01,S_C13_01_06,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",3,18,0,6,2026-03-09T08:18:00
ART_core_L13_01_010_07_04,core_L13_01_010_07_04,L13_01_010,C13_01,S_C13_01_07,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the reading corner,1,25,0,0,2026-03-16T14:18:00
ART_core_L13_01_010_08_05,core_L13_01_010_08_05,L13_01_010,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",1,33,0,0,2026-03-23T11:54:00
ART_core_L13_01_011_01_01,core_L13_01_011_01_01,L13_01_011,C13_01,S_C13_01_01,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the art table,1,15,0,0,2026-02-02T13:24:00
ART_core_L13_01_011_02_02,core_L13_01_011_02_02,L13_01_011,C13_01,S_C13_01_02,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for crayons roll off the desk in the art table,1,40,1,0,2026-02-09T10:36:00
ART_core_L13_01_011_05_03,core_L13_01_011_05_03,L13_01_011,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the art table,1,15,0,0,2026-03-02T14:25:00
ART_core_L13_01_011_08_05,core_L13_01_011_08_05,L13_01_011,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the friend and the problem, plus one test note",2,20,0,0,2026-03-23T11:16:00
ART_core_L13_01_012_02_02,core_L13_01_012_02_02,L13_01_012,C13_01,S_C13_01_02,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing books get mixed up,2,42,1,0,2026-02-09T11:28:00
ART_core_L13_01_012_03_03,core_L13_01_012_03_03,L13_01_012,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing books get mixed up,3,20,1,0,2026-02-16T07:35:00
ART_core_L13_01_012_04_04,core_L13_01_012_04_04,L13_01_012,C13_01,S_C13_01_04,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the reading corner,1,20,0,0,2026-02-23T13:33:00
ART_core_L13_01_012_05_05,core_L13_01_012_05_05,L13_01_012,C13_01,S_C13_01_05,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",1,22,0,0,2026-03-02T08:52:00
ART_core_L13_01_013_01_01,core_L13_01_013_01_01,L13_01_013,C13_01,S_C13_01_01,helpful_invention_studio,journal_page,"journal page naming the art helper and the problem, plus one test note",3,16,0,0,2026-02-02T08:51:00
ART_core_L13_01_013_05_03,core_L13_01_013_05_03,L13_01_013,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the maker shelf,3,20,0,0,2026-03-02T13:01:00
ART_core_L13_01_013_06_04,core_L13_01_013_06_04,L13_01_013,C13_01,S_C13_01_06,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the maker shelf,1,39,0,0,2026-03-09T08:33:00
ART_core_L13_01_013_07_05,core_L13_01_013_07_05,L13_01_013,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing markers dry out,1,23,1,0,2026-03-16T10:35:00
ART_core_L13_01_014_01_01,core_L13_01_014_01_01,L13_01_014,C13_01,S_C13_01_01,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",1,44,0,0,2026-02-02T08:35:00
ART_core_L13_01_014_02_02,core_L13_01_014_02_02,L13_01_014,C13_01,S_C13_01_02,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",3,23,0,0,2026-02-09T13:20:00
ART_core_L13_01_014_04_03,core_L13_01_014_04_03,L13_01_014,C13_01,S_C13_01_04,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for lunch box is hard to open in the cafeteria,1,23,1,0,2026-02-23T12:12:00
ART_core_L13_01_014_06_04,core_L13_01_014_06_04,L13_01_014,C13_01,S_C13_01_06,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing lunch box is hard to open,2,32,1,0,2026-03-09T12:32:00
ART_core_L13_01_014_07_05,core_L13_01_014_07_05,L13_01_014,C13_01,S_C13_01_07,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,1,24,0,0,2026-03-16T13:47:00
ART_core_L13_01_015_02_01,core_L13_01_015_02_01,L13_01_015,C13_01,S_C13_01_02,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,1,44,0,0,2026-02-09T09:27:00
ART_core_L13_01_015_03_02,core_L13_01_015_03_02,L13_01_015,C13_01,S_C13_01_03,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for water bottle spills in backpacks in the classroom,1,56,1,0,2026-02-16T11:34:00
ART_core_L13_01_015_04_03,core_L13_01_015_04_03,L13_01_015,C13_01,S_C13_01_04,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing water bottle spills in backpacks,3,15,1,0,2026-02-23T11:16:00
ART_core_L13_01_015_05_04,core_L13_01_015_05_04,L13_01_015,C13_01,S_C13_01_05,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing water bottle spills in backpacks,3,21,1,0,2026-03-02T12:21:00
ART_core_L13_01_015_08_05,core_L13_01_015_08_05,L13_01_015,C13_01,S_C13_01_08,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,3,32,0,0,2026-03-23T13:29:00
ART_core_L13_01_016_02_01,core_L13_01_016_02_01,L13_01_016,C13_01,S_C13_01_02,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for water bottle spills in backpacks in the classroom,2,30,1,0,2026-02-09T11:19:00
ART_core_L13_01_016_04_02,core_L13_01_016_04_02,L13_01_016,C13_01,S_C13_01_04,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,2,13,0,0,2026-02-23T13:51:00
ART_core_L13_01_016_05_03,core_L13_01_016_05_03,L13_01_016,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,3,15,0,0,2026-03-02T11:19:00
ART_core_L13_01_016_08_05,core_L13_01_016_08_05,L13_01_016,C13_01,S_C13_01_08,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for water bottle spills in backpacks in the classroom,2,18,1,0,2026-03-23T14:12:00
ART_core_L13_01_017_01_01,core_L13_01_017_01_01,L13_01_017,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing lunch box is hard to open,2,20,1,0,2026-02-02T09:17:00
ART_core_L13_01_017_02_02,core_L13_01_017_02_02,L13_01_017,C13_01,S_C13_01_02,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",3,28,0,0,2026-02-09T07:59:00
ART_core_L13_01_017_07_04,core_L13_01_017_07_04,L13_01_017,C13_01,S_C13_01_07,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",2,26,0,0,2026-03-16T08:07:00
ART_core_L13_01_017_08_05,core_L13_01_017_08_05,L13_01_017,C13_01,S_C13_01_08,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,3,27,0,0,2026-03-23T14:07:00
ART_core_L13_01_018_01_01,core_L13_01_018_01_01,L13_01_018,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing headphones get tangled,2,13,1,0,2026-02-02T08:45:00
ART_core_L13_01_018_03_02,core_L13_01_018_03_02,L13_01_018,C13_01,S_C13_01_03,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,1,19,0,0,2026-02-16T08:07:00
ART_core_L13_01_018_05_03,core_L13_01_018_05_03,L13_01_018,C13_01,S_C13_01_05,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for headphones get tangled in the computer station,1,26,1,0,2026-03-02T09:44:00
ART_core_L13_01_018_07_04,core_L13_01_018_07_04,L13_01_018,C13_01,S_C13_01_07,helpful_invention_studio,journal_page,"journal page naming the partner and the problem, plus one test note",3,17,0,0,2026-03-16T09:47:00
ART_core_L13_01_018_08_05,core_L13_01_018_08_05,L13_01_018,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the partner and the problem, plus one test note",2,18,0,0,2026-03-23T14:05:00
ART_core_L13_01_019_01_01,core_L13_01_019_01_01,L13_01_019,C13_01,S_C13_01_01,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the window garden,2,19,0,0,2026-02-02T12:37:00
ART_core_L13_01_019_02_02,core_L13_01_019_02_02,L13_01_019,C13_01,S_C13_01_02,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,1,37,1,0,2026-02-09T12:52:00
ART_core_L13_01_019_03_03,core_L13_01_019_03_03,L13_01_019,C13_01,S_C13_01_03,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the window garden,2,35,0,0,2026-02-16T12:48:00
ART_core_L13_01_019_06_04,core_L13_01_019_06_04,L13_01_019,C13_01,S_C13_01_06,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,16,1,2,2026-03-09T08:38:00
ART_core_L13_01_019_07_05,core_L13_01_019_07_05,L13_01_019,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,25,1,0,2026-03-16T12:24:00
ART_core_L13_01_020_02_01,core_L13_01_020_02_01,L13_01_020,C13_01,S_C13_01_02,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for water bottle spills in backpacks in the classroom,3,50,1,0,2026-02-09T12:42:00
ART_core_L13_01_020_03_02,core_L13_01_020_03_02,L13_01_020,C13_01,S_C13_01_03,helpful_invention_studio,journal_page,"journal page naming the student and the problem, plus one test note",1,30,0,0,2026-02-16T07:47:00
ART_core_L13_01_020_05_03,core_L13_01_020_05_03,L13_01_020,C13_01,S_C13_01_05,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing water bottle spills in backpacks,2,23,1,0,2026-03-02T12:04:00
ART_core_L13_01_020_06_04,core_L13_01_020_06_04,L13_01_020,C13_01,S_C13_01_06,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,3,19,0,0,2026-03-09T08:25:00
ART_core_L13_01_020_07_05,core_L13_01_020_07_05,L13_01_020,C13_01,S_C13_01_07,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for water bottle spills in backpacks in the classroom,3,32,1,0,2026-03-16T14:23:00
ART_core_L13_01_021_01_01,core_L13_01_021_01_01,L13_01_021,C13_01,S_C13_01_01,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",2,10,0,0,2026-02-02T07:26:00
ART_core_L13_01_021_03_02,core_L13_01_021_03_02,L13_01_021,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing books get mixed up,1,26,1,0,2026-02-16T11:30:00
ART_core_L13_01_021_04_03,core_L13_01_021_04_03,L13_01_021,C13_01,S_C13_01_04,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing books get mixed up,3,28,1,0,2026-02-23T13:04:00
ART_core_L13_01_021_05_04,core_L13_01_021_05_04,L13_01_021,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the reading corner,2,59,0,0,2026-03-02T08:44:00
ART_core_L13_01_021_06_05,core_L13_01_021_06_05,L13_01_021,C13_01,S_C13_01_06,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",1,27,0,1,2026-03-09T09:01:00
ART_core_L13_01_022_01_01,core_L13_01_022_01_01,L13_01_022,C13_01,S_C13_01_01,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the homework bin,1,14,0,0,2026-02-02T10:45:00
ART_core_L13_01_022_04_02,core_L13_01_022_04_02,L13_01_022,C13_01,S_C13_01_04,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for papers fall out of folders in the homework bin,3,8,1,0,2026-02-23T10:36:00
ART_core_L13_01_022_05_03,core_L13_01_022_05_03,L13_01_022,C13_01,S_C13_01_05,helpful_invention_studio,journal_page,"journal page naming the teacher and the problem, plus one test note",3,22,0,0,2026-03-02T08:52:00
ART_core_L13_01_022_06_04,core_L13_01_022_06_04,L13_01_022,C13_01,S_C13_01_06,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing papers fall out of folders,1,21,1,3,2026-03-09T08:55:00
ART_core_L13_01_022_08_05,core_L13_01_022_08_05,L13_01_022,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the teacher and the problem, plus one test note",2,28,0,0,2026-03-23T12:48:00
ART_core_L13_01_023_02_01,core_L13_01_023_02_01,L13_01_023,C13_01,S_C13_01_02,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the classroom,2,34,0,0,2026-02-09T12:01:00
ART_core_L13_01_023_03_02,core_L13_01_023_03_02,L13_01_023,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing water bottle spills in backpacks,3,31,1,0,2026-02-16T09:16:00
ART_core_L13_01_023_06_03,core_L13_01_023_06_03,L13_01_023,C13_01,S_C13_01_06,helpful_invention_studio,journal_page,"journal page naming the student and the problem, plus one test note",3,30,0,0,2026-03-09T08:34:00
ART_core_L13_01_023_07_04,core_L13_01_023_07_04,L13_01_023,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing water bottle spills in backpacks,2,23,1,0,2026-03-16T10:28:00
ART_core_L13_01_023_08_05,core_L13_01_023_08_05,L13_01_023,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the student and the problem, plus one test note",1,40,0,0,2026-03-23T14:24:00
ART_core_L13_01_024_03_01,core_L13_01_024_03_01,L13_01_024,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing lunch box is hard to open,3,21,1,0,2026-02-16T14:13:00
ART_core_L13_01_024_05_02,core_L13_01_024_05_02,L13_01_024,C13_01,S_C13_01_05,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",1,19,0,0,2026-03-02T10:15:00
ART_core_L13_01_024_06_03,core_L13_01_024_06_03,L13_01_024,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for lunch box is hard to open in the cafeteria,2,35,1,3,2026-03-09T11:03:00
ART_core_L13_01_024_07_04,core_L13_01_024_07_04,L13_01_024,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing lunch box is hard to open,2,32,1,0,2026-03-16T11:35:00
ART_core_L13_01_024_08_05,core_L13_01_024_08_05,L13_01_024,C13_01,S_C13_01_08,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,2,37,0,0,2026-03-23T12:09:00
ART_core_L13_01_025_03_01,core_L13_01_025_03_01,L13_01_025,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing markers dry out,2,25,1,0,2026-02-16T08:43:00
ART_core_L13_01_025_05_03,core_L13_01_025_05_03,L13_01_025,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the maker shelf,2,23,0,0,2026-03-02T12:27:00
ART_core_L13_01_025_06_04,core_L13_01_025_06_04,L13_01_025,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for markers dry out in the maker shelf,2,30,1,6,2026-03-09T12:32:00
ART_core_L13_01_026_02_02,core_L13_01_026_02_02,L13_01_026,C13_01,S_C13_01_02,helpful_invention_studio,journal_page,"journal page naming the friend and the problem, plus one test note",3,20,0,0,2026-02-09T10:18:00
ART_core_L13_01_026_06_03,core_L13_01_026_06_03,L13_01_026,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for crayons roll off the desk in the art table,1,28,1,0,2026-03-09T12:55:00
ART_core_L13_01_026_07_04,core_L13_01_026_07_04,L13_01_026,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing crayons roll off the desk,3,25,1,0,2026-03-16T08:49:00
ART_core_L13_01_026_08_05,core_L13_01_026_08_05,L13_01_026,C13_01,S_C13_01_08,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing crayons roll off the desk,3,38,1,0,2026-03-23T12:40:00
ART_core_L13_01_027_01_01,core_L13_01_027_01_01,L13_01_027,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,2,15,1,0,2026-02-02T11:10:00
ART_core_L13_01_027_04_02,core_L13_01_027_04_02,L13_01_027,C13_01,S_C13_01_04,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,2,16,1,0,2026-02-23T14:31:00
ART_core_L13_01_027_06_03,core_L13_01_027_06_03,L13_01_027,C13_01,S_C13_01_06,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",1,28,0,4,2026-03-09T14:11:00
ART_core_L13_01_027_07_04,core_L13_01_027_07_04,L13_01_027,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,21,1,0,2026-03-16T12:35:00
