record_id,recommended_split,bos_mastery_score_expected,bos_readiness_score_expected,mia_integrity_score_expected,bos_mastery_band_expected,bos_readiness_band_expected,mia_band_expected,mia_review_needed_expected,expected_action,confidence_calibration_gap,rationale_stub
core_L13_01_001_03_01,train,75,65,87,green,amber,green,False,auto_pass,25,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_004_04_03,train,64,63,83,amber,amber,green,False,auto_pass,-4,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_004_06_04,train,60,51,83,amber,amber,green,True,escalate_teacher_review,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_004_07_05,train,64,63,83,amber,amber,green,False,auto_pass,-4,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_005_01_01,train,52,52,83,amber,amber,green,False,coach_next_step,-32,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_005_02_02,train,63,59,83,amber,amber,green,False,auto_pass,-43,mastery=developing; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_005_03_03,train,57,63,79,amber,amber,green,False,auto_pass,-37,mastery=developing; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_005_07_04,train,67,68,83,amber,amber,green,False,auto_pass,-27,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_005_08_05,train,67,68,83,amber,amber,green,False,auto_pass,-27,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_006_02_01,train,72,70,83,green,amber,green,False,auto_pass,8,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_006_03_02,train,69,70,83,amber,amber,green,False,auto_pass,-9,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_006_04_03,train,72,62,59,green,amber,amber,True,escalate_teacher_review,8,mastery=proficient; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_006_06_04,train,69,70,83,amber,amber,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_006_07_05,train,78,67,83,green,amber,green,True,escalate_teacher_review,22,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_007_01_01,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_007_05_02,train,78,79,83,green,green,green,False,auto_pass,22,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_007_06_03,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_007_07_04,train,84,75,87,green,green,green,False,auto_pass,16,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_007_08_05,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_008_02_01,train,56,54,83,amber,amber,green,False,auto_pass,-16,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_008_03_02,train,56,46,83,amber,red,green,True,escalate_teacher_review,-16,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_008_04_03,train,59,46,83,amber,red,green,True,escalate_teacher_review,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_008_06_04,train,56,51,83,amber,amber,green,True,escalate_teacher_review,-16,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_008_07_05,train,60,59,83,amber,amber,green,False,auto_pass,-20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_009_02_01,train,65,65,83,amber,amber,green,False,auto_pass,-5,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_009_04_02,train,65,70,83,amber,amber,green,False,auto_pass,-5,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_009_06_03,train,75,79,83,green,green,green,False,auto_pass,5,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_009_07_04,train,78,75,73,green,green,green,True,escalate_teacher_review,2,mastery=advanced; evidence=developing; integrity=low; proof=False; ai=False
core_L13_01_009_08_05,train,75,79,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_010_01_01,train,59,51,83,amber,amber,green,True,escalate_teacher_review,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_010_04_02,train,72,62,83,green,amber,green,True,escalate_teacher_review,-32,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_010_06_03,train,68,53,83,amber,amber,green,True,escalate_teacher_review,-8,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_010_07_04,train,80,62,87,green,amber,green,True,escalate_teacher_review,0,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=True
core_L13_01_010_08_05,train,72,62,83,green,amber,green,True,escalate_teacher_review,-12,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_011_01_01,train,66,63,87,amber,amber,green,False,auto_pass,14,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_011_02_02,train,75,70,87,green,amber,green,False,auto_pass,5,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_011_05_03,train,75,70,87,green,amber,green,False,auto_pass,25,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_011_07_04,train,75,70,62,green,amber,amber,True,escalate_teacher_review,5,mastery=proficient; evidence=strong; integrity=medium; proof=False; ai=False
core_L13_01_011_08_05,train,75,70,87,green,amber,green,False,auto_pass,5,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_012_01_01,train,60,60,59,amber,amber,amber,True,escalate_teacher_review,0,mastery=developing; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_012_02_02,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_012_03_03,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_012_04_04,train,75,70,87,green,amber,green,False,auto_pass,5,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_012_05_05,train,75,70,87,green,amber,green,False,auto_pass,-15,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_013_01_01,train,54,59,79,amber,amber,green,False,auto_pass,6,mastery=developing; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_013_03_02,train,54,55,55,amber,amber,amber,True,escalate_teacher_review,6,mastery=developing; evidence=weak; integrity=medium; proof=False; ai=False
core_L13_01_013_05_03,train,59,70,79,amber,amber,green,False,auto_pass,1,mastery=proficient; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_013_06_04,train,63,70,79,amber,amber,green,False,auto_pass,17,mastery=proficient; evidence=weak; integrity=low; proof=True; ai=True
core_L13_01_013_07_05,train,65,70,83,amber,amber,green,False,auto_pass,-5,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_014_01_01,train,75,62,68,green,amber,amber,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=medium; proof=True; ai=False
core_L13_01_014_02_02,train,75,62,68,green,amber,amber,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=medium; proof=True; ai=True
core_L13_01_014_04_03,train,72,57,68,green,amber,amber,True,escalate_teacher_review,28,mastery=proficient; evidence=developing; integrity=medium; proof=True; ai=False
core_L13_01_014_06_04,train,75,62,68,green,amber,amber,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=medium; proof=True; ai=False
core_L13_01_014_07_05,train,84,62,72,green,amber,green,True,escalate_teacher_review,16,mastery=advanced; evidence=strong; integrity=medium; proof=True; ai=False
core_L13_01_015_02_01,train,60,51,83,amber,amber,green,True,escalate_teacher_review,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_015_03_02,train,75,57,87,green,amber,green,True,escalate_teacher_review,5,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_015_04_03,train,69,70,83,amber,amber,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_015_05_04,train,75,62,87,green,amber,green,True,escalate_teacher_review,5,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_015_08_05,train,81,80,87,green,green,green,False,auto_pass,19,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_016_02_01,train,66,59,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_016_04_02,train,56,54,83,amber,amber,green,False,auto_pass,24,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_016_05_03,train,66,59,87,amber,amber,green,False,auto_pass,14,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_016_06_04,train,60,55,73,amber,amber,green,True,escalate_teacher_review,20,mastery=developing; evidence=developing; integrity=low; proof=False; ai=True
core_L13_01_016_08_05,train,66,59,87,amber,amber,green,False,auto_pass,14,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_017_01_01,train,48,38,83,red,red,green,True,escalate_teacher_review,-28,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_017_02_02,train,52,43,83,amber,red,green,True,escalate_teacher_review,-32,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_017_06_03,train,52,47,59,amber,red,amber,True,escalate_teacher_review,-32,mastery=novice; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_017_07_04,train,63,59,83,amber,amber,green,False,auto_pass,-43,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_017_08_05,train,69,59,87,amber,amber,green,False,auto_pass,-49,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_018_01_01,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_018_03_02,train,66,59,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_018_05_03,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_018_07_04,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_018_08_05,train,66,63,87,amber,amber,green,False,auto_pass,-6,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_019_01_01,train,60,67,83,amber,amber,green,False,auto_pass,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_019_02_02,train,69,74,83,amber,green,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_019_03_03,train,69,74,83,amber,green,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_019_06_04,train,69,78,83,amber,green,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_019_07_05,train,79,88,83,green,green,green,False,auto_pass,21,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_020_02_01,train,65,75,83,amber,green,green,False,auto_pass,-5,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_020_03_02,train,69,79,83,amber,green,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_020_05_03,train,69,79,83,amber,green,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_020_06_04,train,76,84,83,green,green,green,False,auto_pass,24,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_020_07_05,train,81,84,87,green,green,green,False,auto_pass,-1,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_021_01_01,train,62,59,87,amber,amber,green,False,auto_pass,-22,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_021_03_02,train,71,65,87,amber,amber,green,False,auto_pass,-11,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_021_04_03,train,71,65,87,amber,amber,green,False,auto_pass,-11,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_021_05_04,train,77,70,87,green,amber,green,False,auto_pass,3,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_021_06_05,train,71,65,87,amber,amber,green,False,auto_pass,-11,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_022_01_01,train,50,52,83,amber,amber,green,False,coach_next_step,-30,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_022_04_02,train,50,52,83,amber,amber,green,False,coach_next_step,-10,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_022_05_03,train,64,72,83,amber,green,green,False,auto_pass,-24,mastery=developing; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_022_06_04,train,60,63,83,amber,amber,green,False,auto_pass,-20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_022_08_05,train,60,63,83,amber,amber,green,False,auto_pass,-20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_023_02_01,train,69,70,83,amber,amber,green,False,auto_pass,11,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_023_03_02,train,72,70,83,green,amber,green,False,auto_pass,-12,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_023_06_03,train,72,75,83,green,green,green,False,auto_pass,8,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_023_07_04,train,72,75,83,green,green,green,False,auto_pass,8,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_023_08_05,train,72,75,83,green,green,green,False,auto_pass,8,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_024_03_01,train,69,70,83,amber,amber,green,False,auto_pass,31,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_024_05_02,train,69,70,83,amber,amber,green,False,auto_pass,31,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_024_06_03,train,69,70,83,amber,amber,green,False,auto_pass,31,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_024_07_04,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_024_08_05,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_025_03_01,train,63,63,83,amber,amber,green,False,auto_pass,17,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_025_04_02,train,67,65,73,amber,amber,green,True,escalate_teacher_review,13,mastery=developing; evidence=developing; integrity=low; proof=False; ai=False
core_L13_01_025_05_03,train,67,68,83,amber,amber,green,False,auto_pass,13,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_025_06_04,train,76,75,83,green,green,green,False,auto_pass,24,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_025_07_05,train,76,75,59,green,green,amber,True,escalate_teacher_review,24,mastery=proficient; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_026_01_01,train,60,60,59,amber,amber,amber,True,escalate_teacher_review,-20,mastery=developing; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_026_02_02,train,66,63,87,amber,amber,green,False,auto_pass,-26,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_026_06_03,train,66,63,87,amber,amber,green,False,auto_pass,-26,mastery=developing; evidence=strong; integrity=low; proof=True; ai=True
core_L13_01_026_07_04,train,75,70,87,green,amber,green,False,auto_pass,-15,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_026_08_05,train,79,75,87,green,green,green,False,auto_pass,-19,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_027_01_01,train,56,59,83,amber,amber,green,False,auto_pass,4,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_027_04_02,train,60,63,83,amber,amber,green,False,auto_pass,20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_027_06_03,train,69,63,87,amber,amber,green,False,auto_pass,11,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_027_07_04,train,78,70,87,green,amber,green,False,auto_pass,2,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_027_08_05,train,66,63,87,amber,amber,green,False,auto_pass,14,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_028_01_01,train,52,52,83,amber,amber,green,False,coach_next_step,-12,mastery=novice; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_028_02_02,train,52,47,83,amber,red,green,True,escalate_teacher_review,-12,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_028_05_03,train,69,55,87,amber,amber,green,True,escalate_teacher_review,-29,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_028_07_04,train,69,55,87,amber,amber,green,True,escalate_teacher_review,-9,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_028_08_05,train,50,52,83,amber,amber,green,False,coach_next_step,-10,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_029_01_01,train,81,79,72,green,green,green,False,auto_pass,-1,mastery=advanced; evidence=strong; integrity=medium; proof=True; ai=False
core_L13_01_029_02_02,train,69,70,68,amber,amber,amber,False,auto_pass,-9,mastery=proficient; evidence=developing; integrity=medium; proof=True; ai=False
core_L13_01_029_04_03,train,81,75,87,green,green,green,False,auto_pass,-1,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_029_07_04,train,81,79,87,green,green,green,False,auto_pass,-1,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=True
core_L13_01_029_08_05,train,81,83,72,green,green,green,False,auto_pass,-1,mastery=advanced; evidence=strong; integrity=medium; proof=True; ai=False
core_L13_01_030_01_01,train,77,70,87,green,amber,green,False,auto_pass,23,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_030_04_02,train,71,70,77,amber,amber,green,True,escalate_teacher_review,29,mastery=proficient; evidence=strong; integrity=low; proof=False; ai=False
core_L13_01_030_06_03,train,71,75,83,amber,green,green,False,auto_pass,29,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_030_07_04,train,71,70,83,amber,amber,green,False,auto_pass,29,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_030_08_05,train,77,75,77,green,green,green,True,escalate_teacher_review,23,mastery=advanced; evidence=strong; integrity=low; proof=False; ai=False
core_L13_01_031_03_01,train,56,59,83,amber,amber,green,False,auto_pass,-16,mastery=developing; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_031_05_02,train,70,53,87,amber,amber,green,True,escalate_teacher_review,-10,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_031_06_03,train,61,59,87,amber,amber,green,False,auto_pass,-21,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_031_07_04,train,70,65,87,amber,amber,green,False,auto_pass,-10,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_031_08_05,train,75,62,87,green,amber,green,True,escalate_teacher_review,-15,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_032_01_01,train,54,59,79,amber,amber,green,False,auto_pass,-14,mastery=developing; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_032_02_02,train,54,59,79,amber,amber,green,False,auto_pass,-14,mastery=developing; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_032_03_03,train,60,59,83,amber,amber,green,False,auto_pass,-20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_032_06_04,train,60,59,83,amber,amber,green,False,auto_pass,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_032_07_05,train,63,65,79,amber,amber,green,False,auto_pass,-3,mastery=proficient; evidence=weak; integrity=low; proof=True; ai=False
core_L13_01_033_02_01,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_033_03_02,train,75,62,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_033_05_03,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_033_06_04,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_033_07_05,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_034_01_01,train,52,47,87,amber,red,green,False,coach_next_step,-12,mastery=novice; evidence=strong; integrity=low; proof=True; ai=True
core_L13_01_034_02_02,train,47,38,87,red,red,green,True,escalate_teacher_review,-7,mastery=novice; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_034_03_03,train,62,59,87,amber,amber,green,False,auto_pass,-2,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_034_07_04,train,52,47,87,amber,red,green,False,coach_next_step,-12,mastery=novice; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_034_08_05,train,56,59,83,amber,amber,green,False,auto_pass,4,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_035_01_01,train,59,54,83,amber,amber,green,False,auto_pass,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_035_04_02,train,59,54,83,amber,amber,green,False,auto_pass,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_035_05_03,train,59,54,83,amber,amber,green,False,auto_pass,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_035_07_04,train,64,54,87,amber,amber,green,False,auto_pass,-24,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_035_08_05,train,68,61,83,amber,amber,green,False,auto_pass,-28,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_036_01_01,train,75,67,59,green,amber,amber,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=medium; proof=False; ai=False
core_L13_01_036_02_02,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_036_04_03,train,69,62,83,amber,amber,green,True,escalate_teacher_review,31,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_036_05_04,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_036_06_05,train,75,67,83,green,amber,green,True,escalate_teacher_review,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_037_01_01,train,56,63,83,amber,amber,green,False,auto_pass,-36,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_037_02_02,train,59,62,83,amber,amber,green,False,auto_pass,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_037_03_03,train,59,59,73,amber,amber,green,True,escalate_teacher_review,-19,mastery=developing; evidence=developing; integrity=low; proof=False; ai=False
core_L13_01_037_04_04,train,59,62,83,amber,amber,green,False,auto_pass,-19,mastery=developing; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_037_08_05,train,61,62,87,amber,amber,green,False,auto_pass,-21,mastery=developing; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_038_01_01,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_038_05_02,train,73,79,83,green,green,green,False,auto_pass,27,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_038_06_03,train,75,75,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_038_07_04,train,79,84,83,green,green,green,False,auto_pass,21,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_038_08_05,train,75,79,83,green,green,green,False,auto_pass,25,mastery=advanced; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_039_02_01,train,71,65,87,amber,amber,green,False,auto_pass,-11,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_039_03_02,train,77,70,87,green,amber,green,False,auto_pass,23,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_039_04_03,train,77,70,87,green,amber,green,False,auto_pass,23,mastery=advanced; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_039_05_04,train,77,70,62,green,amber,amber,True,escalate_teacher_review,3,mastery=advanced; evidence=strong; integrity=medium; proof=False; ai=False
