aggregate_level,cohort_id,grade_band,unit_family,session_index,session_title,submitted_records,distinct_learners,expected_enrollment,submission_rate,avg_bos_mastery,avg_bos_readiness,avg_mia_integrity,proof_of_work_rate,ai_use_rate,followup_rate,review_needed_rate
cohort_session,C1012_06,10-12,venture_sprint,2,Value Proposition + Risks,37,37,60,0.617,62.4,66.2,79.6,0.865,0.216,0.297,0.162
cohort_session,C1012_06,10-12,venture_sprint,3,Prototype + Test Fast,37,37,60,0.617,66.1,67.7,80.8,0.919,0.351,0.243,0.135
cohort_session,C1012_06,10-12,venture_sprint,4,Metrics + Experiments,42,42,60,0.7,65.8,67.5,82.9,0.976,0.238,0.143,0.071
cohort_session,C1012_06,10-12,venture_sprint,5,Business Model Basics,41,41,60,0.683,66.6,69.5,81.6,0.902,0.317,0.171,0.122
cohort_session,C1012_06,10-12,venture_sprint,6,Responsible AI & Trust,35,35,60,0.583,66.6,70.1,81.8,0.914,0.2,0.2,0.143
cohort_session,C1012_06,10-12,venture_sprint,7,Pitch Deck Sprint,33,33,60,0.55,67.4,69.5,82.9,0.939,0.394,0.121,0.061
cohort_session,C1012_06,10-12,venture_sprint,8,Investor Demo Day,35,35,60,0.583,71.9,73.7,83.0,0.971,0.229,0.057,0.086
cohort_session,C1012_07,10-12,venture_sprint,1,Choose a Problem Worth Solving,43,43,60,0.717,64.5,67.6,79.5,0.907,0.279,0.233,0.209
cohort_session,C1012_07,10-12,venture_sprint,2,Value Proposition + Risks,37,37,60,0.617,64.9,68.9,78.3,0.865,0.243,0.189,0.189
cohort_session,C1012_07,10-12,venture_sprint,3,Prototype + Test Fast,32,32,60,0.533,67.2,70.1,80.2,0.969,0.25,0.156,0.125
cohort_session,C1012_07,10-12,venture_sprint,4,Metrics + Experiments,38,38,60,0.633,66.6,70.2,78.9,0.921,0.237,0.158,0.132
cohort_session,C1012_07,10-12,venture_sprint,5,Business Model Basics,38,38,60,0.633,67.3,70.3,80.9,1.0,0.263,0.158,0.053
cohort_session,C1012_07,10-12,venture_sprint,6,Responsible AI & Trust,45,45,60,0.75,70.6,73.6,82.5,0.956,0.133,0.022,0.044
cohort_session,C1012_07,10-12,venture_sprint,7,Pitch Deck Sprint,31,31,60,0.517,70.6,72.5,81.5,0.968,0.226,0.161,0.161
cohort_session,C1012_07,10-12,venture_sprint,8,Investor Demo Day,36,36,60,0.6,73.2,75.0,80.9,0.917,0.194,0.056,0.139
cohort_session,C1012_08,10-12,venture_sprint,1,Choose a Problem Worth Solving,34,34,60,0.567,63.1,67.5,80.5,0.912,0.206,0.206,0.118
cohort_session,C1012_08,10-12,venture_sprint,2,Value Proposition + Risks,35,35,60,0.583,64.8,68.4,80.8,0.886,0.143,0.257,0.114
cohort_session,C1012_08,10-12,venture_sprint,3,Prototype + Test Fast,38,38,60,0.633,67.0,70.0,80.2,0.868,0.237,0.289,0.237
cohort_session,C1012_08,10-12,venture_sprint,4,Metrics + Experiments,44,44,60,0.733,68.5,70.9,80.8,0.886,0.227,0.136,0.182
cohort_session,C1012_08,10-12,venture_sprint,5,Business Model Basics,40,40,60,0.667,68.3,70.8,82.6,0.95,0.225,0.15,0.1
cohort_session,C1012_08,10-12,venture_sprint,6,Responsible AI & Trust,38,38,60,0.633,69.0,71.7,81.5,0.895,0.342,0.132,0.132
cohort_session,C1012_08,10-12,venture_sprint,7,Pitch Deck Sprint,36,36,60,0.6,72.6,74.4,82.8,0.944,0.167,0.083,0.083
cohort_session,C1012_08,10-12,venture_sprint,8,Investor Demo Day,35,35,60,0.583,75.1,75.4,82.9,0.886,0.229,0.143,0.2
cohort_session,C1012_09,10-12,venture_sprint,1,Choose a Problem Worth Solving,42,42,60,0.7,63.3,67.4,79.8,0.929,0.262,0.262,0.119
cohort_session,C1012_09,10-12,venture_sprint,2,Value Proposition + Risks,39,39,60,0.65,64.2,69.3,78.5,0.846,0.154,0.231,0.154
cohort_session,C1012_09,10-12,venture_sprint,3,Prototype + Test Fast,32,32,60,0.533,64.3,67.7,78.8,0.875,0.281,0.25,0.188
cohort_session,C1012_09,10-12,venture_sprint,4,Metrics + Experiments,37,37,60,0.617,65.3,67.1,81.0,0.892,0.243,0.297,0.216
cohort_session,C1012_09,10-12,venture_sprint,5,Business Model Basics,36,36,60,0.6,69.5,71.1,80.8,0.917,0.278,0.222,0.194
cohort_session,C1012_09,10-12,venture_sprint,6,Responsible AI & Trust,43,43,60,0.717,69.3,72.1,82.5,0.93,0.349,0.209,0.14
cohort_session,C1012_09,10-12,venture_sprint,7,Pitch Deck Sprint,38,38,60,0.633,71.8,71.9,83.6,0.974,0.263,0.158,0.158
cohort_session,C1012_09,10-12,venture_sprint,8,Investor Demo Day,33,33,60,0.55,72.0,72.9,84.0,1.0,0.303,0.152,0.121
cohort_session,C1012_10,10-12,venture_sprint,1,Choose a Problem Worth Solving,42,42,60,0.7,63.4,66.7,83.1,0.976,0.262,0.214,0.024
cohort_session,C1012_10,10-12,venture_sprint,2,Value Proposition + Risks,38,38,60,0.633,65.1,68.1,79.4,0.895,0.263,0.184,0.132
cohort_session,C1012_10,10-12,venture_sprint,3,Prototype + Test Fast,36,36,60,0.6,66.8,68.5,81.4,0.889,0.389,0.25,0.111
cohort_session,C1012_10,10-12,venture_sprint,4,Metrics + Experiments,39,39,60,0.65,65.6,68.2,81.8,0.949,0.333,0.256,0.077
cohort_session,C1012_10,10-12,venture_sprint,5,Business Model Basics,36,36,60,0.6,66.5,68.9,80.2,0.833,0.25,0.194,0.167
cohort_session,C1012_10,10-12,venture_sprint,6,Responsible AI & Trust,35,35,60,0.583,68.3,71.9,83.5,1.0,0.343,0.143,0.0
cohort_session,C1012_10,10-12,venture_sprint,7,Pitch Deck Sprint,34,34,60,0.567,70.8,72.9,79.9,0.882,0.118,0.176,0.176
cohort_session,C1012_10,10-12,venture_sprint,8,Investor Demo Day,40,40,60,0.667,72.4,74.1,82.4,0.925,0.275,0.125,0.1
cohort_session,C1012_11,10-12,venture_sprint,1,Choose a Problem Worth Solving,39,39,60,0.65,62.1,66.2,77.7,0.846,0.308,0.308,0.205
cohort_session,C1012_11,10-12,venture_sprint,2,Value Proposition + Risks,42,42,60,0.7,63.8,66.0,82.2,0.952,0.286,0.333,0.19
cohort_session,C1012_11,10-12,venture_sprint,3,Prototype + Test Fast,33,33,60,0.55,66.5,68.3,81.6,0.879,0.242,0.273,0.242
cohort_session,C1012_11,10-12,venture_sprint,4,Metrics + Experiments,37,37,60,0.617,67.1,68.5,82.4,0.919,0.297,0.27,0.135
cohort_session,C1012_11,10-12,venture_sprint,5,Business Model Basics,32,32,60,0.533,67.2,68.7,82.1,0.906,0.219,0.219,0.219
cohort_session,C1012_11,10-12,venture_sprint,6,Responsible AI & Trust,38,38,60,0.633,69.7,71.4,81.6,0.868,0.184,0.211,0.184
cohort_session,C1012_11,10-12,venture_sprint,7,Pitch Deck Sprint,42,42,60,0.7,71.9,71.0,83.5,0.929,0.286,0.238,0.238
cohort_session,C1012_11,10-12,venture_sprint,8,Investor Demo Day,37,37,60,0.617,72.6,72.4,82.6,0.946,0.243,0.162,0.189
cohort_session,C1012_12,10-12,venture_sprint,1,Choose a Problem Worth Solving,34,34,60,0.567,61.8,67.0,78.1,0.912,0.147,0.235,0.147
cohort_session,C1012_12,10-12,venture_sprint,2,Value Proposition + Risks,37,37,60,0.617,64.5,69.2,81.4,0.946,0.189,0.189,0.081
cohort_session,C1012_12,10-12,venture_sprint,3,Prototype + Test Fast,34,34,60,0.567,65.3,70.2,80.0,0.912,0.324,0.206,0.147
cohort_session,C1012_12,10-12,venture_sprint,4,Metrics + Experiments,30,30,60,0.5,65.4,68.2,79.0,0.867,0.267,0.333,0.233
cohort_session,C1012_12,10-12,venture_sprint,5,Business Model Basics,37,37,60,0.617,66.1,68.8,83.1,0.973,0.216,0.162,0.081
cohort_session,C1012_12,10-12,venture_sprint,6,Responsible AI & Trust,41,41,60,0.683,67.9,72.3,81.2,0.951,0.268,0.098,0.073
cohort_session,C1012_12,10-12,venture_sprint,7,Pitch Deck Sprint,46,46,60,0.767,70.9,72.3,82.8,0.957,0.152,0.109,0.087
cohort_session,C1012_12,10-12,venture_sprint,8,Investor Demo Day,41,41,60,0.683,72.5,73.9,82.7,0.976,0.171,0.073,0.073
cohort_session,C13_01,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",40,40,60,0.667,61.4,60.2,80.4,0.9,0.1,0.4,0.175
cohort_session,C13_01,1-3,helpful_invention_studio,2,Make a Plan,42,42,60,0.7,63.1,60.5,80.5,0.952,0.048,0.333,0.262
cohort_session,C13_01,1-3,helpful_invention_studio,3,Build Prototype v1,31,31,60,0.517,65.6,63.5,82.0,0.903,0.097,0.226,0.258
cohort_session,C13_01,1-3,helpful_invention_studio,4,Make It Better,31,31,60,0.517,65.6,62.9,79.9,0.839,0.032,0.323,0.323
cohort_session,C13_01,1-3,helpful_invention_studio,5,Add a Story + Demo,32,32,60,0.533,69.5,66.7,82.9,0.969,0.062,0.281,0.281
cohort_session,C13_01,1-3,helpful_invention_studio,6,Optional Coding Boost,41,41,60,0.683,67.6,65.2,82.2,0.951,0.195,0.341,0.244
cohort_session,C13_01,1-3,helpful_invention_studio,7,Rehearse & Improve,43,43,60,0.717,71.0,67.7,81.5,0.907,0.047,0.233,0.279
cohort_session,C13_01,1-3,helpful_invention_studio,8,Showcase Day,40,40,60,0.667,71.0,69.2,83.7,0.975,0.075,0.1,0.1
cohort_session,C13_02,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",35,35,60,0.583,58.3,59.9,79.5,0.857,0.114,0.457,0.286
cohort_session,C13_02,1-3,helpful_invention_studio,2,Make a Plan,32,32,60,0.533,57.3,57.6,78.9,0.781,0.0,0.5,0.312
cohort_session,C13_02,1-3,helpful_invention_studio,3,Build Prototype v1,36,36,60,0.6,64.8,63.9,82.0,0.944,0.028,0.306,0.167
cohort_session,C13_02,1-3,helpful_invention_studio,4,Make It Better,44,44,60,0.733,63.5,63.0,79.5,0.841,0.136,0.341,0.295
cohort_session,C13_02,1-3,helpful_invention_studio,5,Add a Story + Demo,31,31,60,0.517,66.3,65.8,80.3,0.903,0.129,0.323,0.226
cohort_session,C13_02,1-3,helpful_invention_studio,6,Optional Coding Boost,41,41,60,0.683,66.8,65.9,82.8,0.927,0.122,0.22,0.146
cohort_session,C13_02,1-3,helpful_invention_studio,7,Rehearse & Improve,44,44,60,0.733,69.6,67.5,82.0,0.864,0.045,0.227,0.25
cohort_session,C13_02,1-3,helpful_invention_studio,8,Showcase Day,37,37,60,0.617,68.4,67.5,83.2,0.973,0.081,0.189,0.135
cohort_session,C13_03,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",38,38,60,0.633,63.1,61.9,79.9,0.947,0.0,0.263,0.237
cohort_session,C13_03,1-3,helpful_invention_studio,2,Make a Plan,40,40,60,0.667,63.8,62.4,78.9,0.9,0.05,0.225,0.25
cohort_session,C13_03,1-3,helpful_invention_studio,3,Build Prototype v1,40,40,60,0.667,66.2,64.6,79.9,0.925,0.1,0.2,0.175
cohort_session,C13_03,1-3,helpful_invention_studio,4,Make It Better,31,31,60,0.517,66.3,64.1,78.6,0.839,0.065,0.323,0.258
cohort_session,C13_03,1-3,helpful_invention_studio,5,Add a Story + Demo,42,42,60,0.7,68.3,66.1,81.3,0.929,0.143,0.167,0.214
cohort_session,C13_03,1-3,helpful_invention_studio,6,Optional Coding Boost,38,38,60,0.633,67.2,65.7,82.5,0.921,0.053,0.289,0.184
cohort_session,C13_03,1-3,helpful_invention_studio,7,Rehearse & Improve,36,36,60,0.6,71.4,68.4,79.1,0.833,0.111,0.222,0.306
cohort_session,C13_03,1-3,helpful_invention_studio,8,Showcase Day,35,35,60,0.583,72.0,70.1,82.4,0.971,0.143,0.114,0.143
cohort_session,C13_04,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",43,43,60,0.717,63.3,62.7,80.1,0.907,0.047,0.279,0.233
cohort_session,C13_04,1-3,helpful_invention_studio,2,Make a Plan,36,36,60,0.6,60.9,61.2,80.2,0.889,0.028,0.306,0.278
cohort_session,C13_04,1-3,helpful_invention_studio,3,Build Prototype v1,33,33,60,0.55,63.6,63.5,80.2,0.909,0.03,0.394,0.273
cohort_session,C13_04,1-3,helpful_invention_studio,4,Make It Better,38,38,60,0.633,63.8,63.1,80.0,0.842,0.053,0.289,0.316
cohort_session,C13_04,1-3,helpful_invention_studio,5,Add a Story + Demo,41,41,60,0.683,68.5,65.9,83.5,0.976,0.098,0.244,0.268
cohort_session,C13_04,1-3,helpful_invention_studio,6,Optional Coding Boost,27,27,60,0.45,67.5,64.4,82.6,0.852,0.074,0.444,0.444
cohort_session,C13_04,1-3,helpful_invention_studio,7,Rehearse & Improve,37,37,60,0.617,71.1,67.1,82.0,0.892,0.108,0.351,0.378
cohort_session,C13_04,1-3,helpful_invention_studio,8,Showcase Day,45,45,60,0.75,72.6,69.2,83.4,0.933,0.111,0.267,0.289
cohort_session,C13_05,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",38,38,60,0.633,58.6,58.7,80.7,0.921,0.026,0.421,0.263
cohort_session,C13_05,1-3,helpful_invention_studio,2,Make a Plan,37,37,60,0.617,60.1,58.8,80.0,0.865,0.054,0.459,0.324
cohort_session,C13_05,1-3,helpful_invention_studio,3,Build Prototype v1,35,35,60,0.583,64.3,61.9,80.9,0.857,0.057,0.429,0.4
cohort_session,C13_05,1-3,helpful_invention_studio,4,Make It Better,37,37,60,0.617,63.7,60.6,80.0,0.919,0.081,0.514,0.486
cohort_session,C13_05,1-3,helpful_invention_studio,5,Add a Story + Demo,40,40,60,0.667,66.8,64.0,80.6,0.875,0.075,0.475,0.5
cohort_session,C13_05,1-3,helpful_invention_studio,6,Optional Coding Boost,36,36,60,0.6,65.1,63.7,79.4,0.889,0.139,0.417,0.361
cohort_session,C13_05,1-3,helpful_invention_studio,7,Rehearse & Improve,36,36,60,0.6,66.8,65.7,81.0,0.917,0.083,0.278,0.25
cohort_session,C13_05,1-3,helpful_invention_studio,8,Showcase Day,41,41,60,0.683,69.1,66.1,82.3,0.854,0.22,0.415,0.415
cohort_session,C13_06,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",39,39,60,0.65,58.7,59.0,77.1,0.846,0.103,0.462,0.333
cohort_session,C13_06,1-3,helpful_invention_studio,2,Make a Plan,30,30,60,0.5,58.9,60.7,78.9,0.967,0.1,0.333,0.133
cohort_session,C13_06,1-3,helpful_invention_studio,3,Build Prototype v1,37,37,60,0.617,63.0,62.1,78.5,0.892,0.135,0.378,0.378
cohort_session,C13_06,1-3,helpful_invention_studio,4,Make It Better,36,36,60,0.6,63.5,64.6,80.9,0.972,0.056,0.222,0.194
cohort_session,C13_06,1-3,helpful_invention_studio,5,Add a Story + Demo,41,41,60,0.683,66.3,65.4,79.1,0.902,0.098,0.317,0.293
cohort_session,C13_06,1-3,helpful_invention_studio,6,Optional Coding Boost,39,39,60,0.65,66.5,64.1,79.9,0.872,0.205,0.359,0.359
cohort_session,C13_06,1-3,helpful_invention_studio,7,Rehearse & Improve,40,40,60,0.667,66.6,65.4,79.5,0.825,0.075,0.375,0.375
cohort_session,C13_06,1-3,helpful_invention_studio,8,Showcase Day,38,38,60,0.633,68.8,65.7,80.1,0.921,0.184,0.368,0.342
cohort_session,C13_07,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",35,35,60,0.583,62.1,61.1,79.7,0.857,0.029,0.4,0.286
cohort_session,C13_07,1-3,helpful_invention_studio,2,Make a Plan,32,32,60,0.533,61.2,60.6,80.8,0.938,0.0,0.406,0.25
cohort_session,C13_07,1-3,helpful_invention_studio,3,Build Prototype v1,37,37,60,0.617,62.5,62.3,80.4,0.919,0.0,0.351,0.243
cohort_session,C13_07,1-3,helpful_invention_studio,4,Make It Better,31,31,60,0.517,67.2,66.8,79.9,0.839,0.032,0.194,0.258
cohort_session,C13_07,1-3,helpful_invention_studio,5,Add a Story + Demo,39,39,60,0.65,67.8,66.5,81.4,0.949,0.128,0.256,0.231
cohort_session,C13_07,1-3,helpful_invention_studio,6,Optional Coding Boost,40,40,60,0.667,68.1,65.4,80.2,0.8,0.125,0.325,0.325
cohort_session,C13_07,1-3,helpful_invention_studio,7,Rehearse & Improve,48,48,60,0.8,69.0,67.1,82.5,0.958,0.083,0.208,0.188
cohort_session,C13_07,1-3,helpful_invention_studio,8,Showcase Day,38,38,60,0.633,70.0,68.1,81.6,0.895,0.105,0.237,0.237
cohort_session,C13_08,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",39,39,60,0.65,62.1,61.5,80.5,0.949,0.051,0.41,0.256
cohort_session,C13_08,1-3,helpful_invention_studio,2,Make a Plan,37,37,60,0.617,59.3,59.8,74.4,0.784,0.027,0.486,0.351
cohort_session,C13_08,1-3,helpful_invention_studio,3,Build Prototype v1,38,38,60,0.633,63.6,62.7,80.6,0.921,0.079,0.263,0.158
cohort_session,C13_08,1-3,helpful_invention_studio,4,Make It Better,35,35,60,0.583,66.1,64.7,79.2,0.886,0.0,0.286,0.2
cohort_session,C13_08,1-3,helpful_invention_studio,5,Add a Story + Demo,41,41,60,0.683,68.0,65.1,81.1,0.927,0.073,0.195,0.268
cohort_session,C13_08,1-3,helpful_invention_studio,6,Optional Coding Boost,31,31,60,0.517,68.0,64.8,79.9,0.871,0.032,0.258,0.258
cohort_session,C13_08,1-3,helpful_invention_studio,7,Rehearse & Improve,37,37,60,0.617,69.5,67.0,79.3,0.811,0.135,0.324,0.297
cohort_session,C13_08,1-3,helpful_invention_studio,8,Showcase Day,42,42,60,0.7,71.3,69.6,82.2,0.952,0.143,0.143,0.119
cohort_session,C13_09,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",41,41,60,0.683,60.4,60.7,75.8,0.78,0.098,0.366,0.317
cohort_session,C13_09,1-3,helpful_invention_studio,2,Make a Plan,43,43,60,0.717,58.7,57.9,78.7,0.884,0.07,0.535,0.256
cohort_session,C13_09,1-3,helpful_invention_studio,3,Build Prototype v1,36,36,60,0.6,61.0,60.9,77.7,0.833,0.083,0.417,0.333
cohort_session,C13_09,1-3,helpful_invention_studio,4,Make It Better,35,35,60,0.583,62.5,62.1,80.2,0.914,0.029,0.343,0.229
cohort_session,C13_09,1-3,helpful_invention_studio,5,Add a Story + Demo,41,41,60,0.683,63.2,61.5,81.5,0.902,0.073,0.39,0.268
cohort_session,C13_09,1-3,helpful_invention_studio,6,Optional Coding Boost,29,29,60,0.483,62.6,62.1,78.1,0.862,0.138,0.379,0.276
cohort_session,C13_09,1-3,helpful_invention_studio,7,Rehearse & Improve,40,40,60,0.667,67.5,66.2,81.8,0.95,0.05,0.3,0.225
cohort_session,C13_09,1-3,helpful_invention_studio,8,Showcase Day,35,35,60,0.583,67.9,67.1,80.5,0.914,0.057,0.286,0.257
cohort_session,C13_10,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",37,37,60,0.617,60.1,60.1,79.2,0.865,0.081,0.459,0.27
cohort_session,C13_10,1-3,helpful_invention_studio,2,Make a Plan,35,35,60,0.583,59.7,59.0,78.6,0.857,0.029,0.457,0.286
cohort_session,C13_10,1-3,helpful_invention_studio,3,Build Prototype v1,30,30,60,0.5,65.2,62.3,77.2,0.767,0.033,0.467,0.433
cohort_session,C13_10,1-3,helpful_invention_studio,4,Make It Better,44,44,60,0.733,64.1,63.0,80.3,0.864,0.068,0.341,0.318
cohort_session,C13_10,1-3,helpful_invention_studio,5,Add a Story + Demo,43,43,60,0.717,67.3,65.9,81.7,0.93,0.093,0.279,0.209
cohort_session,C13_10,1-3,helpful_invention_studio,6,Optional Coding Boost,34,34,60,0.567,68.6,66.4,81.0,0.912,0.029,0.235,0.235
cohort_session,C13_10,1-3,helpful_invention_studio,7,Rehearse & Improve,35,35,60,0.583,69.9,67.7,81.9,0.943,0.029,0.257,0.286
cohort_session,C13_10,1-3,helpful_invention_studio,8,Showcase Day,42,42,60,0.7,70.2,68.1,82.9,0.952,0.095,0.19,0.143
cohort_session,C13_11,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",36,36,60,0.6,65.0,62.6,81.3,0.944,0.056,0.306,0.222
cohort_session,C13_11,1-3,helpful_invention_studio,2,Make a Plan,41,41,60,0.683,60.9,59.4,79.2,0.854,0.073,0.439,0.317
cohort_session,C13_11,1-3,helpful_invention_studio,3,Build Prototype v1,41,41,60,0.683,64.0,62.4,76.7,0.805,0.073,0.415,0.366
cohort_session,C13_11,1-3,helpful_invention_studio,4,Make It Better,40,40,60,0.667,65.7,62.9,80.0,0.9,0.05,0.425,0.325
cohort_session,C13_11,1-3,helpful_invention_studio,5,Add a Story + Demo,37,37,60,0.617,66.5,64.3,83.4,0.973,0.0,0.297,0.27
cohort_session,C13_11,1-3,helpful_invention_studio,6,Optional Coding Boost,35,35,60,0.583,69.5,67.1,81.4,0.943,0.171,0.286,0.257
cohort_session,C13_11,1-3,helpful_invention_studio,7,Rehearse & Improve,34,34,60,0.567,71.5,68.2,80.9,0.853,0.059,0.294,0.265
cohort_session,C13_11,1-3,helpful_invention_studio,8,Showcase Day,36,36,60,0.6,71.2,68.4,82.1,0.972,0.111,0.194,0.194
cohort_session,C13_12,1-3,helpful_invention_studio,1,"Notice Problems, Pick One",40,40,60,0.667,63.6,62.5,79.8,0.875,0.125,0.325,0.275
cohort_session,C13_12,1-3,helpful_invention_studio,2,Make a Plan,37,37,60,0.617,62.5,62.4,78.7,0.838,0.027,0.378,0.243
